phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000,128,128,8192,OS2-f8-fast,1.575922e-03,3.011461e-05,2.075353e-06,5.953583e-08,2.815408e-09,1.513170e-10,5.390199e-12,7.306590e-13,6.559662e-13,3.166870e-13,6.941030e-13,1.819369e-12,
-1.000000,128,128,8192,OS2-f8-accu,8.296650e-07,7.406346e-08,1.259141e-09,4.719169e-11,6.728940e-13,2.970588e-14,2.634789e-16,2.142289e-16,2.149695e-16,2.152789e-16,2.104375e-16,2.093493e-16,
-1.000000,128,128,16384,DGEMM,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,2.454679e-11,
-1.000000,128,128,16384,OS1-7,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,3.229885e-11,
-1.000000,128,128,16384,OS1-11,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,2.653283e-13,
-1.000000,128,128,16384,OS2-i8-fast,4.709893e-02,1.580947e-03,1.626486e-04,1.555545e-05,4.911588e-07,1.109849e-07,1.387620e-08,9.117547e-10,2.034449e-11,1.517268e-12,1.210778e-13,3.116438e-13,
-1.000000,128,128,16384,OS2-i8-accu,2.495577e-05,3.327673e-06,4.044411e-07,9.489065e-09,3.110229e-10,7.521106e-11,1.353116e-12,2.674404e-14,4.057244e-16,2.073199e-16,2.105034e-16,2.146744e-16,
-1.000000,128,128,16384,OS2-f8-fast,1.387836e-04,2.456608e-05,4.911590e-07,1.109858e-07,1.552128e-09,1.807504e-10,1.918500e-12,7.723584e-13,8.444362e-13,3.829703e-13,1.793491e-12,9.688499e-13,
-1.000000,128,128,16384,OS2-f8-accu,7.712360e-08,9.489065e-09,3.110230e-10,2.038852e-11,1.533235e-12,1.694349e-15,2.121646e-16,2.132481e-16,2.159466e-16,2.120120e-16,2.113092e-16,2.153223e-16,
-1.000000,128,128,32768,DGEMM,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,2.076678e-11,
-1.000000,128,128,32768,OS1-7,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,1.554976e-12,
-1.000000,128,128,32768,OS1-11,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,2.734879e-13,
-1.000000,128,128,32768,OS2-i8-fast,6.910658e-02,3.219838e-03,2.735220e-04,2.681243e-05,1.215931e-06,1.400065e-07,9.186327e-09,9.915058e-10,1.064810e-10,3.729845e-12,3.001015e-13,6.295924e-13,
-1.000000,128,128,32768,OS2-i8-accu,4.428212e-05,2.767228e-06,2.040016e-07,9.186349e-09,1.916309e-09,1.556626e-10,7.088409e-12,9.597163e-14,3.949910e-15,2.088368e-16,2.159841e-16,2.143926e-16,
-1.000000,128,128,32768,OS2-f8-fast,1.049190e-03,4.428212e-05,1.215932e-06,9.973774e-08,6.964292e-09,2.605109e-10,6.296791e-12,2.559265e-12,2.039369e-12,8.679849e-13,1.148852e-12,2.112680e-12,
-1.000000,128,128,32768,OS2-f8-accu,2.294949e-07,2.641403e-08,9.916706e-10,5.277178e-11,9.595717e-13,1.139134e-14,2.131154e-16,2.199933e-16,2.101024e-16,2.177756e-16,2.105242e-16,2.117177e-16,
