phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,7.148403e-01,3.004144e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.886849e+00,1.138132e-03,1.671640e-04,5.014995e-04,3.031210e-04,1.316725e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.713980e+00,1.252922e-03,1.736905e-04,5.543995e-04,3.370770e-04,1.534130e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.573592e+00,1.364702e-03,1.774035e-04,6.272905e-04,3.657040e-04,1.555280e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.479985e+00,1.451017e-03,1.775740e-04,6.734750e-04,3.979330e-04,1.575895e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,1.372082e+00,1.565127e-03,1.984280e-04,7.255525e-04,4.287185e-04,1.771935e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,1.294782e+00,1.658568e-03,2.027195e-04,7.751720e-04,4.629295e-04,1.848815e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,1.217686e+00,1.763578e-03,2.088865e-04,8.298385e-04,4.981120e-04,1.926685e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.124760e+00,1.909283e-03,2.537920e-04,8.927660e-04,5.280355e-04,2.004560e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,1.069271e+00,2.008363e-03,2.601840e-04,9.442435e-04,5.620240e-04,2.075310e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,1.017110e+00,2.111358e-03,2.676845e-04,9.995190e-04,5.944715e-04,2.156190e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,9.574504e-01,2.242919e-03,2.753240e-04,1.078589e-03,6.292965e-04,2.228135e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,9.186276e-01,2.337709e-03,2.947945e-04,1.116154e-03,6.616805e-04,2.300700e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,1.743014e+00,1.232052e-03,2.339905e-04,5.295385e-04,3.005260e-04,1.294690e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-10,1.585909e+00,1.354102e-03,2.463175e-04,5.829745e-04,3.348900e-04,1.505585e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,1.466428e+00,1.464432e-03,2.515445e-04,6.423650e-04,3.704485e-04,1.583055e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.402894e+00,1.530753e-03,2.503170e-04,6.913060e-04,4.043965e-04,1.543745e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,1.285612e+00,1.670398e-03,2.720735e-04,7.482795e-04,4.388310e-04,1.734835e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.212981e+00,1.770418e-03,2.652475e-04,8.050415e-04,4.751250e-04,1.820115e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,1.148299e+00,1.870143e-03,2.692475e-04,8.688685e-04,5.078875e-04,1.887925e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,1.070217e+00,2.006588e-03,3.101725e-04,9.220920e-04,5.392285e-04,1.962350e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,1.012604e+00,2.120754e-03,3.178730e-04,9.861890e-04,5.715865e-04,2.030425e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,9.650836e-01,2.225179e-03,3.253280e-04,1.042451e-03,6.045160e-04,2.102580e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,9.220530e-01,2.329024e-03,3.351600e-04,1.094060e-03,6.364100e-04,2.176210e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,8.805172e-01,2.438889e-03,3.495145e-04,1.154075e-03,6.701020e-04,2.244095e-04,
-1.000000e+00,1024,1024,2048,DGEMM,7.476388e-01,5.744709e-03,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,3.217031e+00,1.335072e-03,2.430785e-04,6.340065e-04,2.966445e-04,1.261215e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-10,2.903628e+00,1.479173e-03,2.585025e-04,7.079080e-04,3.310335e-04,1.473100e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-11,2.699425e+00,1.591067e-03,2.643890e-04,7.792415e-04,3.628400e-04,1.453200e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-12,2.512584e+00,1.709382e-03,2.749930e-04,8.528000e-04,3.953775e-04,1.513205e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-13,2.317298e+00,1.853438e-03,2.892765e-04,9.292815e-04,4.291760e-04,1.706710e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-14,2.172914e+00,1.976593e-03,2.993935e-04,1.004420e-03,4.646310e-04,1.726920e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-15,2.038522e+00,2.106903e-03,3.117115e-04,1.078228e-03,4.964995e-04,1.855550e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-16,1.834277e+00,2.341504e-03,4.213085e-04,1.158684e-03,5.304435e-04,1.959580e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-17,1.752841e+00,2.450289e-03,4.206650e-04,1.224945e-03,5.647230e-04,2.034645e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-18,1.650292e+00,2.602550e-03,4.364815e-04,1.323239e-03,5.979495e-04,2.108490e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-19,1.583749e+00,2.711899e-03,4.524535e-04,1.373893e-03,6.307650e-04,2.186960e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-20,1.498951e+00,2.865314e-03,4.889205e-04,1.454910e-03,6.620870e-04,2.248870e-04,
