phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,5.962900e-01,3.601408e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.546519e+00,1.388592e-03,1.274925e-04,7.792315e-04,2.636275e-04,1.515635e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.450971e+00,1.480032e-03,1.436540e-04,8.497155e-04,2.993280e-04,1.608070e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.330693e+00,1.613808e-03,1.481120e-04,9.297925e-04,3.294585e-04,1.721155e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.221249e+00,1.758432e-03,1.675160e-04,1.016097e-03,3.616595e-04,1.823355e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,1.099037e+00,1.953968e-03,1.779855e-04,1.134737e-03,4.002610e-04,1.932175e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,1.045717e+00,2.053600e-03,1.903990e-04,1.189848e-03,4.244555e-04,2.041730e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,8.646266e-01,2.483712e-03,1.933410e-04,1.456604e-03,5.367455e-04,2.235425e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,9.227694e-01,2.327216e-03,2.128460e-04,1.376211e-03,4.845710e-04,2.251825e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,8.444341e-01,2.543104e-03,2.257660e-04,1.498230e-03,5.712820e-04,2.381660e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,7.169750e-01,2.995200e-03,2.372995e-04,1.746608e-03,6.724655e-04,2.569105e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,7.910936e-01,2.714576e-03,2.520530e-04,1.611809e-03,5.690210e-04,2.557530e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,6.468449e-01,3.319936e-03,2.576010e-04,1.941242e-03,7.604085e-04,2.780290e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,1.519813e+00,1.412992e-03,2.081395e-04,7.615485e-04,2.652790e-04,1.511925e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-10,1.384701e+00,1.550864e-03,2.151120e-04,8.477665e-04,2.952945e-04,1.615495e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,1.274598e+00,1.684832e-03,2.269240e-04,9.341720e-04,3.242340e-04,1.722550e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.154194e+00,1.860592e-03,2.423010e-04,1.029863e-03,3.652235e-04,1.828190e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,1.091929e+00,1.966688e-03,2.540700e-04,1.106209e-03,3.864405e-04,1.925775e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.014020e+00,2.117792e-03,2.648655e-04,1.216127e-03,4.248105e-04,2.044460e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,9.582600e-01,2.241024e-03,2.779740e-04,1.274112e-03,4.445965e-04,2.141425e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,9.035554e-01,2.376704e-03,2.881740e-04,1.366142e-03,4.677890e-04,2.240860e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,8.500873e-01,2.526192e-03,3.049710e-04,1.454371e-03,5.072435e-04,2.353645e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,8.039012e-01,2.671328e-03,3.240470e-04,1.534807e-03,5.390510e-04,2.448835e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,7.649390e-01,2.807392e-03,3.430195e-04,1.617859e-03,5.610555e-04,2.566620e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,7.152557e-01,3.002400e-03,3.563595e-04,1.744837e-03,6.033990e-04,2.703075e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,6.151697e+00,3.490880e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,5.159839e+00,4.161920e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,4.237875e+00,5.067360e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,3.496073e+00,6.142560e-04,,,,,
-1.000000e+00,1024,1024,2048,DGEMM,5.971389e-01,7.192576e-03,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,2.318656e+00,1.852352e-03,2.477945e-04,1.157494e-03,2.654465e-04,1.511640e-04,
