phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000,128,128,8192,OS1-7,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,2.042676e-12,
-1.000000,128,128,8192,OS1-11,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,3.345065e-12,
-1.000000,128,128,8192,OS2-i8-fast,3.547679e-02,1.764791e-03,7.481870e-05,7.900716e-06,4.037193e-07,2.819915e-08,2.910103e-09,1.837507e-10,1.496398e-11,7.367709e-13,7.587487e-14,8.991409e-14,
-1.000000,128,128,8192,OS2-i8-accu,1.842203e-05,2.748451e-06,1.140087e-07,4.449507e-09,3.035163e-10,2.028214e-11,1.460933e-12,1.192538e-13,2.202348e-15,2.162534e-16,2.146424e-16,2.114748e-16,
-1.000000,128,128,8192,OS2-f8-fast,1.731898e-04,1.010844e-05,4.037195e-07,2.620923e-08,1.125912e-09,4.780883e-11,2.446321e-12,2.830751e-12,7.375341e-13,3.226359e-13,5.254784e-13,5.578231e-13,
-1.000000,128,128,8192,OS2-f8-accu,4.839585e-07,8.017751e-09,3.035163e-10,1.928891e-11,7.394435e-13,5.528957e-15,2.102321e-16,2.146338e-16,2.105220e-16,2.160530e-16,2.181181e-16,2.147259e-16,
-1.000000,128,128,16384,ZGEMM,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,2.827941e-11,
-1.000000,128,128,16384,ZGEMM3m,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,1.009896e-11,
-1.000000,128,128,16384,OS1-7,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,2.036920e-11,
-1.000000,128,128,16384,OS1-11,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,4.644399e-12,
-1.000000,128,128,16384,OS2-i8-fast,3.646847e-01,3.485920e-02,1.386609e-03,1.921011e-04,1.152351e-05,9.572098e-07,1.066864e-07,3.233881e-09,3.261576e-10,6.180799e-12,1.389528e-12,1.184372e-12,
-1.000000,128,128,16384,OS2-i8-accu,1.673696e-04,5.752760e-06,5.883750e-07,1.066858e-07,7.761382e-09,2.106381e-10,3.031123e-11,1.619208e-13,1.148966e-14,4.523529e-16,2.142038e-16,2.100563e-16,
-1.000000,128,128,16384,OS2-f8-fast,2.199989e-03,1.673695e-04,1.152351e-05,6.086943e-07,2.952085e-08,1.308748e-09,4.257236e-11,8.189336e-11,1.097501e-11,4.543439e-12,9.261710e-12,1.195003e-11,
-1.000000,128,128,16384,OS2-f8-accu,9.057806e-07,1.641251e-07,3.233351e-09,1.885804e-10,2.655044e-12,1.559269e-14,3.323822e-16,2.171701e-16,2.127777e-16,2.143285e-16,2.101633e-16,2.135577e-16,
-1.000000,128,128,32768,ZGEMM,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,9.863960e-12,
-1.000000,128,128,32768,ZGEMM3m,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,8.927288e-12,
-1.000000,128,128,32768,OS1-7,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,2.677711e-12,
-1.000000,128,128,32768,OS1-11,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,1.116769e-12,
-1.000000,128,128,32768,OS2-i8-fast,1.780770e-01,1.303043e-02,6.451337e-04,5.670845e-05,1.794121e-06,1.828563e-07,3.675161e-08,4.402985e-10,1.454770e-10,4.266733e-12,1.376485e-12,1.287932e-12,
-1.000000,128,128,32768,OS2-i8-accu,6.678737e-05,3.801357e-06,1.571467e-07,3.227466e-08,4.408901e-10,5.995232e-11,4.073008e-12,1.222054e-13,5.856303e-15,2.211540e-16,2.160776e-16,2.124070e-16,
-1.000000,128,128,32768,OS2-f8-fast,1.399119e-03,9.068484e-05,1.794122e-06,6.489287e-08,6.133835e-09,2.505375e-10,1.001394e-11,5.794377e-12,2.278907e-11,2.019646e-11,1.048013e-11,3.217781e-11,
-1.000000,128,128,32768,OS2-f8-accu,3.257273e-07,3.675171e-08,4.716528e-10,4.032080e-11,1.034676e-12,1.836818e-14,2.890240e-16,2.145962e-16,2.169225e-16,2.160108e-16,2.157924e-16,2.143988e-16,
-1.000000,128,128,65536,ZGEMM,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,7.281517e-11,
-1.000000,128,128,65536,ZGEMM3m,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,3.522217e-11,
-1.000000,128,128,65536,OS1-7,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,1.491504e-11,
-1.000000,128,128,65536,OS1-11,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,3.279573e-12,
-1.000000,128,128,65536,OS2-i8-fast,8.024225e-01,3.839885e-02,1.514067e-03,2.276624e-04,2.380128e-05,1.122303e-06,6.085500e-08,9.147713e-09,6.227981e-10,5.087012e-11,3.513568e-11,3.710337e-12,
-1.000000,128,128,65536,OS2-i8-accu,2.215555e-04,2.072949e-05,8.694625e-07,2.412545e-08,4.883554e-09,1.887968e-10,8.091303e-12,6.347590e-13,1.446650e-14,2.262056e-16,2.186956e-16,2.156627e-16,
-1.000000,128,128,65536,OS2-f8-fast,4.263573e-03,2.594785e-04,2.380143e-05,8.694552e-07,1.790393e-08,4.564290e-09,1.213095e-10,8.616230e-11,1.998482e-10,9.370936e-11,1.572111e-10,1.460553e-10,
-1.000000,128,128,65536,OS2-f8-accu,1.122302e-06,2.412545e-08,4.883554e-09,5.877187e-11,1.229291e-11,2.551373e-14,3.880272e-16,2.150089e-16,2.127762e-16,2.107268e-16,2.144369e-16,2.106503e-16,
0.000000,128,128,1024,ZGEMM,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,1.364283e-12,
0.000000,128,128,1024,ZGEMM3m,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,4.812461e-12,
0.000000,128,128,1024,OS1-7,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,2.083895e-12,
0.000000,128,128,1024,OS1-11,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,3.088372e-12,
0.000000,128,128,1024,OS2-i8-fast,2.535584e-04,6.708123e-06,2.497678e-06,1.206873e-07,2.720835e-09,4.907149e-10,3.738776e-12,2.142798e-16,2.134946e-16,2.157828e-16,2.146674e-16,2.135165e-16,
0.000000,128,128,1024,OS2-i8-accu,6.708123e-06,2.497678e-06,1.206873e-07,2.720835e-09,4.907149e-10,3.738776e-12,2.134946e-16,2.117688e-16,2.113790e-16,2.110361e-16,2.145662e-16,2.114003e-16,
0.000000,128,128,1024,OS2-f8-fast,3.994949e-06,1.206873e-07,2.720835e-09,1.305666e-10,2.131200e-12,2.158000e-16,2.179490e-16,2.110361e-16,2.127937e-16,2.148880e-16,2.161131e-16,2.119992e-16,
0.000000,128,128,1024,OS2-f8-accu,3.385153e-07,2.979229e-09,4.907149e-10,3.738776e-12,2.086293e-16,2.124072e-16,2.143295e-16,2.124289e-16,2.124477e-16,2.102061e-16,2.127937e-16,2.158000e-16,
0.000000,128,128,2048,ZGEMM,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,6.138116e-12,
0.000000,128,128,2048,ZGEMM3m,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,3.573656e-12,
0.000000,128,128,2048,OS1-7,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,3.717609e-12,
0.000000,128,128,2048,OS1-11,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,1.708841e-12,
0.000000,128,128,2048,OS2-i8-fast,2.781930e-04,2.364786e-05,1.110545e-06,6.105608e-08,3.117334e-09,1.906850e-10,1.617620e-11,4.012835e-12,2.107439e-16,2.164634e-16,2.099124e-16,2.181108e-16,
0.000000,128,128,2048,OS2-i8-accu,1.854325e-05,3.065504e-07,6.105608e-08,3.117334e-09,1.906851e-10,1.617620e-11,2.138032e-16,2.134435e-16,2.137129e-16,2.099124e-16,2.102100e-16,2.142728e-16,
0.000000,128,128,2048,OS2-f8-fast,1.906940e-06,6.105608e-08,3.117334e-09,7.963701e-11,1.674283e-11,2.172274e-16,2.796670e-16,2.751565e-16,2.138926e-16,2.127854e-16,2.124665e-16,2.085660e-16,
0.000000,128,128,2048,OS2-f8-accu,8.345032e-08,3.117334e-09,1.906851e-10,1.674283e-11,2.146587e-16,2.102100e-16,2.133495e-16,2.157137e-16,2.131435e-16,2.127374e-16,2.148205e-16,2.148205e-16,
0.000000,128,128,4096,ZGEMM,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,1.025308e-10,
0.000000,128,128,4096,ZGEMM3m,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,1.328007e-09,
0.000000,128,128,4096,OS1-7,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,1.395071e-10,
0.000000,128,128,4096,OS1-11,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,1.866072e-10,
0.000000,128,128,4096,OS2-i8-fast,4.196316e-02,6.453078e-03,2.531023e-04,1.262392e-05,8.396409e-07,3.825090e-08,2.162615e-09,2.554233e-10,4.574419e-16,2.341619e-15,1.390462e-15,2.808129e-15,
0.000000,128,128,4096,OS2-i8-accu,1.015258e-03,1.744416e-04,4.769847e-06,3.725928e-07,2.422415e-08,1.099786e-09,1.667094e-10,2.092259e-16,2.179939e-16,2.101763e-16,2.058830e-16,2.162895e-16,
0.000000,128,128,4096,OS2-f8-fast,5.770823e-04,1.262392e-05,8.396409e-07,2.422416e-08,1.099833e-09,1.545966e-15,2.424946e-14,2.642651e-14,2.478986e-15,2.799968e-14,4.345026e-15,1.274221e-14,
0.000000,128,128,4096,OS2-f8-accu,1.262392e-05,8.396409e-07,2.422415e-08,1.099786e-09,2.149869e-16,2.177673e-16,2.162231e-16,2.162231e-16,2.158637e-16,2.139453e-16,2.138809e-16,2.166794e-16,
0.000000,128,128,8192,ZGEMM,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,2.099516e-11,
0.000000,128,128,8192,ZGEMM3m,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,4.627135e-11,
0.000000,128,128,8192,OS1-7,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,1.340897e-11,
0.000000,128,128,8192,OS1-11,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,4.751876e-12,
0.000000,128,128,8192,OS2-i8-fast,2.951305e-03,1.688103e-04,1.312595e-05,6.459760e-07,1.493317e-07,1.155769e-08,5.740380e-10,6.229792e-11,2.320743e-16,7.708061e-16,2.130508e-16,1.216531e-15,
0.000000,128,128,8192,OS2-i8-accu,6.657606e-05,2.412537e-06,1.056686e-06,5.015872e-08,1.727584e-09,3.991804e-10,1.454822e-11,2.170024e-16,2.083736e-16,2.126773e-16,2.101490e-16,2.143836e-16,
0.000000,128,128,8192,OS2-f8-fast,3.879389e-05,6.459760e-07,1.493317e-07,1.727583e-09,3.991795e-10,1.885118e-15,1.689502e-15,4.086607e-15,6.333716e-15,1.903542e-15,6.806513e-15,1.175933e-15,
0.000000,128,128,8192,OS2-f8-accu,6.459760e-07,5.015872e-08,1.727584e-09,1.180290e-10,2.147168e-16,2.131753e-16,2.184098e-16,2.128510e-16,2.133438e-16,2.166441e-16,2.168999e-16,2.208534e-16,
0.000000,128,128,16384,ZGEMM,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,1.267182e-11,
0.000000,128,128,16384,ZGEMM3m,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,5.998484e-11,
0.000000,128,128,16384,OS1-7,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,4.941917e-12,
0.000000,128,128,16384,OS1-11,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,1.013500e-12,
0.000000,128,128,16384,OS2-i8-fast,4.515606e-03,3.420392e-04,1.855670e-05,1.700715e-06,1.449265e-07,7.402435e-09,2.807825e-10,1.830156e-11,2.994644e-16,2.106178e-16,2.380641e-16,7.337490e-16,
