phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
-1.000000,128,128,32768,CGEMM,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,
-1.000000,128,128,32768,BF16x9,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,3.100604e-03,
-1.000000,128,128,32768,OS2-i8-fast,1.432258e+03,8.803716e+02,4.003009e+01,3.097407e+00,1.839358e-01,1.391778e-02,7.534896e-04,9.570259e-06,2.171775e-05,1.081523e-04,
-1.000000,128,128,32768,OS2-i8-accu,8.803716e+02,4.003009e+01,3.097407e+00,1.839229e-01,1.391339e-02,7.568689e-04,1.827008e-05,4.017751e-07,1.959211e-07,9.365876e-08,
-1.000000,128,128,32768,OS2-f8-fast,8.816191e+02,4.003009e+01,2.059319e+00,8.297481e-02,3.522108e-03,1.116934e-04,7.720346e-05,2.584086e-04,2.460097e-04,3.653962e-04,
-1.000000,128,128,32768,OS2-f8-accu,5.921754e+01,3.097407e+00,1.416468e-01,5.920239e-03,2.453090e-04,6.305414e-07,6.260820e-07,5.855431e-07,4.609507e-07,2.872547e-07,
-1.000000,128,128,65536,CGEMM,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,1.065553e-02,
-1.000000,128,128,65536,BF16x9,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,1.439378e-02,
-1.000000,128,128,65536,OS2-i8-fast,2.089314e+00,3.087091e+03,1.212450e+02,1.785979e+01,8.158186e-01,3.577904e-02,3.591388e-03,2.983255e-04,1.712502e-04,1.178466e-04,
-1.000000,128,128,65536,OS2-i8-accu,1.259677e+03,1.354121e+02,9.563202e+00,4.435225e-01,2.290680e-02,3.685486e-03,5.810852e-05,7.854571e-07,1.223217e-06,6.468372e-07,
-1.000000,128,128,65536,OS2-f8-fast,2.896845e+03,1.212450e+02,9.563594e+00,9.324704e-02,7.286797e-03,2.796914e-04,3.828747e-04,3.863396e-03,2.126430e-04,3.934556e-04,
-1.000000,128,128,65536,OS2-f8-accu,1.212450e+02,9.563202e+00,4.435224e-01,7.217304e-03,3.205889e-04,2.176882e-06,2.346887e-06,5.767036e-07,1.478225e-06,1.124121e-06,
0.000000,128,128,1024,CGEMM,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,
0.000000,128,128,1024,BF16x9,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,6.860683e-03,
0.000000,128,128,1024,OS2-i8-fast,4.776597e+02,8.062832e+00,3.132327e+00,1.712132e-01,3.762683e-03,2.350334e-05,6.902813e-07,1.254477e-07,5.927324e-08,1.254477e-07,
0.000000,128,128,1024,OS2-i8-accu,4.776597e+02,8.062832e+00,3.132327e+00,1.712132e-01,3.762683e-03,2.350334e-05,6.902813e-07,1.254477e-07,5.927324e-08,1.254477e-07,
0.000000,128,128,1024,OS2-f8-fast,5.252017e+01,3.132327e+00,1.142247e-01,4.494733e-03,2.670038e-06,1.254477e-07,6.135321e-08,3.513811e-07,3.513811e-07,7.082927e-08,
0.000000,128,128,1024,OS2-f8-accu,5.252017e+01,3.132327e+00,1.142247e-01,4.494733e-03,2.670038e-06,1.254477e-07,6.135321e-08,3.513811e-07,3.513811e-07,7.082927e-08,
0.000000,128,128,2048,CGEMM,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,
0.000000,128,128,2048,BF16x9,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,2.100200e-03,
0.000000,128,128,2048,OS2-i8-fast,6.343344e+01,1.015697e+01,3.310261e-01,2.913585e-02,1.825228e-03,3.603689e-05,3.271493e-06,1.228381e-07,9.927214e-08,7.765167e-08,
0.000000,128,128,2048,OS2-i8-accu,6.343344e+01,1.015697e+01,3.310261e-01,2.913585e-02,1.825228e-03,3.603689e-05,1.870663e-06,5.929456e-08,9.927214e-08,7.765167e-08,
0.000000,128,128,2048,OS2-f8-fast,2.527700e+01,3.310261e-01,2.913585e-02,4.440403e-04,3.210804e-05,1.342816e-07,2.967536e-07,1.228381e-07,1.867545e-07,1.393357e-07,
0.000000,128,128,2048,OS2-f8-accu,2.527700e+01,3.310261e-01,2.913585e-02,4.440403e-04,3.210804e-05,1.342816e-07,2.967536e-07,1.228381e-07,1.867545e-07,1.393357e-07,
0.000000,128,128,4096,CGEMM,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,1.953066e-01,
0.000000,128,128,4096,BF16x9,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,3.718200e-01,
0.000000,128,128,4096,OS2-i8-fast,5.499145e+04,5.086876e+02,8.794064e+01,1.383230e+01,5.040218e-01,1.309968e-02,4.048307e-04,4.705250e-06,2.804040e-06,3.137241e-06,
0.000000,128,128,4096,OS2-i8-accu,5.499145e+04,5.086876e+02,8.794064e+01,1.383230e+01,5.040218e-01,1.309968e-02,4.048307e-04,4.705250e-06,2.804040e-06,3.137241e-06,
0.000000,128,128,4096,OS2-f8-fast,3.370786e+03,8.794064e+01,4.727869e-01,2.641880e-01,2.980178e-03,6.147490e-06,6.051940e-06,2.482639e-05,4.626032e-06,2.268753e-05,
0.000000,128,128,4096,OS2-f8-accu,3.370786e+03,8.794064e+01,4.727869e-01,2.641880e-01,2.980178e-03,6.147490e-06,6.051940e-06,2.482639e-05,4.626032e-06,2.268753e-05,
0.000000,128,128,8192,CGEMM,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,
