phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,1.01E+02,2.12E-05,,,,
5.00E-01,1024,1024,1024,DGEMM,8.59E-10,8.76E-16,2.43E+01,8.84E-05,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,1.22E+05,6.30E-01,1.53E+01,1.41E-04,3.36E-05,4.27E-05,1.97E-05,1.47E-05
5.00E-01,1024,1024,1024,OS2-fast-3,6.49E+04,5.13E-02,1.26E+01,1.70E-04,3.35E-05,6.26E-05,2.87E-05,1.52E-05
5.00E-01,1024,1024,1024,OS2-fast-4,4.55E+03,3.28E-03,1.06E+01,2.02E-04,3.40E-05,8.44E-05,3.87E-05,1.50E-05
5.00E-01,1024,1024,1024,OS2-fast-5,2.52E+02,2.07E-04,9.18E+00,2.34E-04,3.63E-05,1.04E-04,4.77E-05,1.59E-05
5.00E-01,1024,1024,1024,OS2-fast-6,1.59E+01,1.30E-05,8.09E+00,2.66E-04,3.66E-05,1.25E-04,5.72E-05,1.64E-05
5.00E-01,1024,1024,1024,OS2-fast-7,4.93E-01,8.10E-07,7.24E+00,2.97E-04,3.69E-05,1.45E-04,6.71E-05,1.74E-05
5.00E-01,1024,1024,1024,OS2-fast-8,3.94E-02,5.06E-08,6.58E+00,3.26E-04,3.73E-05,1.66E-04,7.64E-05,1.69E-05
5.00E-01,1024,1024,1024,OS2-fast-9,3.74E-03,3.16E-09,5.99E+00,3.59E-04,3.78E-05,1.87E-04,8.61E-05,1.81E-05
5.00E-01,1024,1024,1024,OS2-fast-10,1.27E-04,1.97E-10,5.47E+00,3.93E-04,4.02E-05,2.08E-04,9.63E-05,1.88E-05
5.00E-01,1024,1024,1024,OS2-fast-11,1.12E-05,1.24E-11,5.06E+00,4.25E-04,4.10E-05,2.29E-04,1.05E-04,1.96E-05
5.00E-01,1024,1024,1024,OS2-fast-12,1.41E-06,7.73E-13,4.72E+00,4.55E-04,4.16E-05,2.49E-04,1.15E-04,1.95E-05
5.00E-01,1024,1024,1024,OS2-fast-13,4.72E-08,4.81E-14,4.31E+00,4.98E-04,5.39E-05,2.70E-04,1.24E-04,2.06E-05
5.00E-01,1024,1024,1024,OS2-fast-14,4.68E-09,3.96E-15,4.03E+00,5.33E-04,5.91E-05,2.90E-04,1.34E-04,2.09E-05
5.00E-01,1024,1024,1024,OS2-fast-15,3.32E-10,2.79E-16,3.78E+00,5.68E-04,6.16E-05,3.12E-04,1.43E-04,2.20E-05
5.00E-01,1024,1024,1024,OS2-fast-16,7.90E-12,4.86E-17,3.57E+00,6.01E-04,6.58E-05,3.32E-04,1.53E-04,2.05E-05
5.00E-01,1024,1024,1024,OS2-fast-17,1.25E-13,4.55E-17,3.38E+00,6.36E-04,6.85E-05,3.53E-04,1.63E-04,2.21E-05
