phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,1.02E+02,2.11E-05,,,,
5.00E-01,1024,1024,1024,GEMMEX,1.72E+00,5.04E-07,5.28E+01,1.63E-04,,,,
5.00E-01,1024,1024,1024,CGEMM,1.72E+00,5.04E-07,5.29E+01,1.62E-04,,,,
5.00E-01,1024,1024,1024,CGEMM3m,1.72E+00,5.04E-07,5.29E+01,1.63E-04,,,,
5.00E-01,1024,1024,1024,CGEMM-TF32,8.74E+02,2.93E-04,2.19E+02,3.92E-05,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,9.04E+05,7.10E-01,4.80E+01,1.79E-04,3.46E-05,8.50E-05,2.07E-05,1.53E-05
5.00E-01,1024,1024,1024,OS2-fast-3,1.24E+05,6.08E-02,3.67E+01,2.34E-04,3.71E-05,1.27E-04,3.12E-05,1.62E-05
5.00E-01,1024,1024,1024,OS2-fast-4,9.76E+03,3.87E-03,2.94E+01,2.92E-04,4.18E-05,1.69E-04,4.19E-05,1.61E-05
5.00E-01,1024,1024,1024,OS2-fast-5,8.42E+02,2.42E-04,2.43E+01,3.53E-04,4.88E-05,2.11E-04,5.30E-05,1.73E-05
5.00E-01,1024,1024,1024,OS2-fast-6,5.37E+01,1.51E-05,2.07E+01,4.16E-04,5.74E-05,2.54E-04,6.35E-05,1.79E-05
5.00E-01,1024,1024,1024,OS2-fast-7,3.56E+00,8.84E-07,1.81E+01,4.75E-04,6.10E-05,2.99E-04,7.37E-05,1.90E-05
5.00E-01,1024,1024,1024,OS2-fast-8,1.31E-01,3.59E-08,1.62E+01,5.31E-04,6.25E-05,3.41E-04,8.48E-05,1.91E-05
5.00E-01,1024,1024,1024,OS2-fast-9,1.51E-03,2.08E-08,1.45E+01,5.92E-04,6.59E-05,3.87E-04,9.58E-05,2.05E-05
5.00E-01,1024,1024,1024,OS2-fast-10,2.41E-05,2.06E-08,1.32E+01,6.52E-04,6.98E-05,4.31E-04,1.06E-04,2.19E-05
