phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,OS2-accu-14,3.92E-09,2.23E-15,2.12E+00,4.06E-03,3.13E-04,2.87E-03,6.05E-04,6.36E-05
5.00E-01,1024,1024,1024,OS2-accu-15,1.49E-10,9.40E-17,2.00E+00,4.30E-03,3.16E-04,3.06E-03,6.51E-04,6.48E-05
5.00E-01,1024,1024,1024,OS2-accu-16,1.14E-11,4.69E-17,1.89E+00,4.54E-03,3.20E-04,3.26E-03,6.90E-04,6.45E-05
5.00E-01,1024,1024,1024,OS2-accu-17,1.29E-13,4.55E-17,1.79E+00,4.81E-03,3.26E-04,3.48E-03,7.33E-04,6.64E-05
5.00E-01,1024,1024,1024,OS2-accu-18,1.81E-15,4.54E-17,1.71E+00,5.03E-03,3.27E-04,3.67E-03,7.73E-04,6.49E-05
5.00E-01,1024,1024,1024,OS2-accu-19,2.19E-16,4.55E-17,1.63E+00,5.28E-03,3.39E-04,3.86E-03,8.17E-04,6.66E-05
5.00E-01,1024,1024,1024,OS2-accu-20,2.20E-16,4.54E-17,1.55E+00,5.54E-03,3.37E-04,4.06E-03,8.68E-04,6.60E-05
5.00E-01,2048,2048,2048,INT8-GEMM,,,1.43E+02,1.20E-04,,,,
5.00E-01,2048,2048,2048,ZGEMMEx,5.29E-08,1.75E-15,5.08E+01,1.35E-03,,,,
5.00E-01,2048,2048,2048,ZGEMM,5.29E-08,1.75E-15,5.18E+01,1.33E-03,,,,
5.00E-01,2048,2048,2048,OS2-fast-2,5.00E+05,1.00E+00,6.54E+01,1.05E-03,1.52E-04,5.02E-04,1.29E-04,6.11E-05
5.00E-01,2048,2048,2048,OS2-fast-3,3.60E+06,1.40E-01,4.91E+01,1.40E-03,1.79E-04,7.46E-04,2.04E-04,6.48E-05
5.00E-01,2048,2048,2048,OS2-fast-4,4.91E+05,9.18E-03,3.93E+01,1.75E-03,1.90E-04,1.01E-03,2.71E-04,6.96E-05
5.00E-01,2048,2048,2048,OS2-fast-5,3.45E+04,5.75E-04,3.22E+01,2.13E-03,2.00E-04,1.31E-03,3.44E-04,7.46E-05
5.00E-01,2048,2048,2048,OS2-fast-6,1.19E+03,3.60E-05,2.71E+01,2.54E-03,2.14E-04,1.61E-03,4.20E-04,8.03E-05
5.00E-01,2048,2048,2048,OS2-fast-7,1.03E+02,2.25E-06,2.34E+01,2.93E-03,2.25E-04,1.91E-03,5.06E-04,8.45E-05
5.00E-01,2048,2048,2048,OS2-fast-8,4.14E-01,1.41E-07,2.08E+01,3.30E-03,2.36E-04,2.20E-03,5.58E-04,9.25E-05
5.00E-01,2048,2048,2048,OS2-fast-9,3.58E-01,8.78E-09,1.88E+01,3.66E-03,2.52E-04,2.47E-03,6.31E-04,9.56E-05
5.00E-01,2048,2048,2048,OS2-fast-10,1.02E-02,5.49E-10,1.72E+01,4.00E-03,2.63E-04,2.76E-03,6.79E-04,9.94E-05
5.00E-01,2048,2048,2048,OS2-fast-11,1.80E-03,3.43E-11,1.58E+01,4.36E-03,2.78E-04,3.05E-03,7.19E-04,1.05E-04
5.00E-01,2048,2048,2048,OS2-fast-12,9.52E-05,2.15E-12,1.45E+01,4.73E-03,2.93E-04,3.33E-03,7.89E-04,1.10E-04
5.00E-01,2048,2048,2048,OS2-fast-13,4.27E-06,1.34E-13,1.36E+01,5.05E-03,3.15E-04,3.59E-03,8.26E-04,1.14E-04
5.00E-01,2048,2048,2048,OS2-fast-14,2.74E-07,1.04E-14,1.27E+01,5.43E-03,3.32E-04,3.90E-03,8.70E-04,1.18E-04
5.00E-01,2048,2048,2048,OS2-fast-15,3.03E-08,9.30E-16,1.18E+01,5.84E-03,3.52E-04,4.21E-03,9.48E-04,1.21E-04
5.00E-01,2048,2048,2048,OS2-fast-16,6.42E-10,5.93E-17,1.11E+01,6.19E-03,3.81E-04,4.47E-03,1.01E-03,1.27E-04
5.00E-01,2048,2048,2048,OS2-fast-17,4.37E-12,4.57E-17,1.04E+01,6.60E-03,4.08E-04,4.76E-03,1.09E-03,1.32E-04
5.00E-01,2048,2048,2048,OS2-fast-18,1.47E-13,4.54E-17,9.84E+00,6.98E-03,4.30E-04,5.02E-03,1.18E-03,1.36E-04
5.00E-01,2048,2048,2048,OS2-fast-19,5.55E-15,4.55E-17,9.41E+00,7.30E-03,4.62E-04,5.28E-03,1.21E-03,1.39E-04
5.00E-01,2048,2048,2048,OS2-fast-20,1.41E-15,4.55E-17,8.88E+00,7.74E-03,4.82E-04,5.63E-03,1.28E-03,1.44E-04
5.00E-01,2048,2048,2048,OS2-accu-2,1.20E+07,4.81E-01,5.14E+01,1.34E-03,3.98E-04,5.49E-04,1.22E-04,6.32E-05
5.00E-01,2048,2048,2048,OS2-accu-3,6.73E+05,3.62E-02,4.11E+01,1.67E-03,4.20E-04,7.91E-04,1.91E-04,6.47E-05
5.00E-01,2048,2048,2048,OS2-accu-4,7.04E+04,2.29E-03,3.41E+01,2.02E-03,4.32E-04,1.06E-03,2.58E-04,6.53E-05
5.00E-01,2048,2048,2048,OS2-accu-5,5.06E+03,1.43E-04,2.89E+01,2.38E-03,4.44E-04,1.33E-03,3.25E-04,7.10E-05
5.00E-01,2048,2048,2048,OS2-accu-6,4.74E+02,8.97E-06,2.50E+01,2.75E-03,4.55E-04,1.63E-03,3.83E-04,7.71E-05
5.00E-01,2048,2048,2048,OS2-accu-7,2.00E+01,5.62E-07,2.18E+01,3.16E-03,4.69E-04,1.95E-03,4.47E-04,8.47E-05
5.00E-01,2048,2048,2048,OS2-accu-8,5.75E-01,3.82E-08,1.95E+01,3.52E-03,4.88E-04,2.23E-03,5.04E-04,9.23E-05
5.00E-01,2048,2048,2048,OS2-accu-9,8.24E-02,2.48E-09,1.76E+01,3.91E-03,5.06E-04,2.52E-03,5.78E-04,9.59E-05
