phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,OS2-accu-14,5.12E-09,2.23E-15,8.69E+00,9.88E-04,1.77E-04,6.05E-04,1.49E-04,2.93E-05
5.00E-01,1024,1024,1024,OS2-accu-15,4.94E-10,9.41E-17,8.19E+00,1.05E-03,1.82E-04,6.48E-04,1.59E-04,3.06E-05
5.00E-01,1024,1024,1024,OS2-accu-16,5.03E-12,4.68E-17,7.74E+00,1.11E-03,1.86E-04,6.93E-04,1.70E-04,3.19E-05
5.00E-01,1024,1024,1024,OS2-accu-17,8.45E-14,4.55E-17,7.36E+00,1.17E-03,1.90E-04,7.35E-04,1.81E-04,3.36E-05
5.00E-01,1024,1024,1024,OS2-accu-18,6.46E-16,4.55E-17,6.99E+00,1.23E-03,1.94E-04,7.78E-04,1.92E-04,3.48E-05
5.00E-01,1024,1024,1024,OS2-accu-19,2.21E-16,4.54E-17,6.56E+00,1.31E-03,2.20E-04,8.23E-04,2.02E-04,3.64E-05
5.00E-01,1024,1024,1024,OS2-accu-20,2.20E-16,4.54E-17,6.27E+00,1.37E-03,2.25E-04,8.65E-04,2.13E-04,3.71E-05
5.00E-01,2048,2048,2048,INT8-GEMM,,,7.35E+02,2.34E-05,,,,
5.00E-01,2048,2048,2048,GEMMEX,7.24E-09,1.75E-15,3.60E+01,1.91E-03,,,,
5.00E-01,2048,2048,2048,ZGEMM,7.24E-09,1.75E-15,3.60E+01,1.91E-03,,,,
5.00E-01,2048,2048,2048,ZGEMM3m,6.67E-09,1.80E-15,4.39E+01,1.56E-03,,,,
5.00E-01,2048,2048,2048,OS2-fast-2,2.37E+05,1.00E+00,2.17E+02,3.16E-04,1.16E-04,1.05E-04,2.97E-05,3.51E-05
5.00E-01,2048,2048,2048,OS2-fast-3,3.41E+05,1.40E-01,1.70E+02,4.04E-04,1.28E-04,1.61E-04,4.66E-05,3.90E-05
5.00E-01,2048,2048,2048,OS2-fast-4,1.88E+04,9.15E-03,1.43E+02,4.81E-04,1.36E-04,2.15E-04,6.26E-05,3.82E-05
5.00E-01,2048,2048,2048,OS2-fast-5,7.45E+02,5.74E-04,1.23E+02,5.61E-04,1.46E-04,2.66E-04,7.82E-05,4.21E-05
5.00E-01,2048,2048,2048,OS2-fast-6,8.20E+01,3.59E-05,1.06E+02,6.50E-04,1.57E-04,3.22E-04,9.59E-05,4.56E-05
5.00E-01,2048,2048,2048,OS2-fast-7,4.64E+00,2.24E-06,9.38E+01,7.32E-04,1.65E-04,3.74E-04,1.12E-04,5.13E-05
5.00E-01,2048,2048,2048,OS2-fast-8,1.77E-01,1.40E-07,8.35E+01,8.23E-04,1.74E-04,4.28E-04,1.28E-04,6.41E-05
5.00E-01,2048,2048,2048,OS2-fast-9,5.24E-03,8.76E-09,7.58E+01,9.06E-04,1.82E-04,4.81E-04,1.45E-04,6.92E-05
5.00E-01,2048,2048,2048,OS2-fast-10,6.17E-04,5.47E-10,6.94E+01,9.90E-04,1.92E-04,5.34E-04,1.61E-04,7.30E-05
5.00E-01,2048,2048,2048,OS2-fast-11,2.96E-05,3.42E-11,6.39E+01,1.08E-03,2.03E-04,5.87E-04,1.78E-04,7.87E-05
5.00E-01,2048,2048,2048,OS2-fast-12,4.06E-06,2.14E-12,5.95E+01,1.15E-03,2.12E-04,6.40E-04,1.93E-04,7.94E-05
5.00E-01,2048,2048,2048,OS2-fast-13,2.07E-07,1.34E-13,5.27E+01,1.30E-03,2.83E-04,6.95E-04,2.12E-04,8.57E-05
5.00E-01,2048,2048,2048,OS2-fast-14,1.10E-08,1.02E-14,4.94E+01,1.39E-03,2.99E-04,7.47E-04,2.28E-04,8.89E-05
5.00E-01,2048,2048,2048,OS2-fast-15,1.70E-09,9.28E-16,4.63E+01,1.48E-03,3.15E-04,8.00E-04,2.43E-04,9.50E-05
5.00E-01,2048,2048,2048,OS2-fast-16,4.66E-11,5.92E-17,4.37E+01,1.57E-03,3.32E-04,8.52E-04,2.59E-04,9.93E-05
5.00E-01,2048,2048,2048,OS2-fast-17,1.78E-12,4.56E-17,4.14E+01,1.66E-03,3.48E-04,9.02E-04,2.74E-04,1.05E-04
5.00E-01,2048,2048,2048,OS2-fast-18,1.25E-14,4.55E-17,3.92E+01,1.75E-03,3.64E-04,9.57E-04,2.94E-04,1.09E-04
5.00E-01,2048,2048,2048,OS2-fast-19,1.96E-15,4.55E-17,3.58E+01,1.92E-03,4.55E-04,1.01E-03,3.09E-04,1.15E-04
5.00E-01,2048,2048,2048,OS2-fast-20,6.99E-16,4.55E-17,3.41E+01,2.01E-03,4.75E-04,1.07E-03,3.26E-04,1.16E-04
5.00E-01,2048,2048,2048,OS2-accu-2,1.17E+06,4.80E-01,1.53E+02,4.50E-04,2.50E-04,1.06E-04,2.98E-05,3.47E-05
5.00E-01,2048,2048,2048,OS2-accu-3,5.31E+04,3.61E-02,1.28E+02,5.36E-04,2.59E-04,1.61E-04,4.67E-05,3.91E-05
5.00E-01,2048,2048,2048,OS2-accu-4,3.10E+03,2.28E-03,1.12E+02,6.11E-04,2.66E-04,2.15E-04,6.28E-05,3.83E-05
5.00E-01,2048,2048,2048,OS2-accu-5,1.43E+02,1.43E-04,9.84E+01,6.98E-04,2.79E-04,2.68E-04,8.00E-05,4.27E-05
5.00E-01,2048,2048,2048,OS2-accu-6,1.28E+01,8.94E-06,8.71E+01,7.89E-04,2.90E-04,3.26E-04,9.71E-05,4.60E-05
5.00E-01,2048,2048,2048,OS2-accu-7,8.12E-01,5.61E-07,7.91E+01,8.69E-04,3.00E-04,3.75E-04,1.12E-04,5.13E-05
5.00E-01,2048,2048,2048,OS2-accu-8,6.83E-02,3.80E-08,7.19E+01,9.56E-04,3.05E-04,4.29E-04,1.29E-04,6.42E-05
5.00E-01,2048,2048,2048,OS2-accu-9,4.09E-03,2.48E-09,6.59E+01,1.04E-03,3.18E-04,4.82E-04,1.46E-04,6.94E-05
5.00E-01,2048,2048,2048,OS2-accu-10,2.29E-04,1.55E-10,6.12E+01,1.12E-03,3.25E-04,5.34E-04,1.62E-04,7.31E-05
5.00E-01,2048,2048,2048,OS2-accu-11,1.33E-05,9.67E-12,5.67E+01,1.21E-03,3.37E-04,5.89E-04,1.79E-04,7.87E-05
5.00E-01,2048,2048,2048,OS2-accu-12,3.19E-07,6.05E-13,5.33E+01,1.29E-03,3.44E-04,6.41E-04,1.94E-04,7.95E-05
5.00E-01,2048,2048,2048,OS2-accu-13,1.52E-07,6.63E-14,4.77E+01,1.44E-03,4.20E-04,6.95E-04,2.12E-04,8.59E-05
5.00E-01,2048,2048,2048,OS2-accu-14,4.49E-09,4.03E-15,4.49E+01,1.53E-03,4.36E-04,7.47E-04,2.28E-04,8.90E-05
5.00E-01,2048,2048,2048,OS2-accu-15,3.67E-10,1.76E-16,4.24E+01,1.62E-03,4.52E-04,8.01E-04,2.44E-04,9.49E-05
5.00E-01,2048,2048,2048,OS2-accu-16,8.53E-12,4.74E-17,4.02E+01,1.71E-03,4.67E-04,8.53E-04,2.60E-04,9.95E-05
5.00E-01,2048,2048,2048,OS2-accu-17,1.12E-13,4.55E-17,3.82E+01,1.80E-03,4.85E-04,9.04E-04,2.76E-04,1.06E-04
5.00E-01,2048,2048,2048,OS2-accu-18,5.39E-15,4.55E-17,3.63E+01,1.89E-03,5.01E-04,9.58E-04,2.94E-04,1.09E-04
5.00E-01,2048,2048,2048,OS2-accu-19,2.21E-16,4.55E-17,3.34E+01,2.06E-03,5.93E-04,1.01E-03,3.10E-04,1.15E-04
5.00E-01,2048,2048,2048,OS2-accu-20,2.21E-16,4.55E-17,3.20E+01,2.15E-03,6.10E-04,1.07E-03,3.26E-04,1.16E-04
5.00E-01,4096,4096,4096,INT8-GEMM,,,2.38E+03,5.77E-05,,,,
5.00E-01,4096,4096,4096,GEMMEX,3.70E-08,2.48E-15,3.68E+01,1.49E-02,,,,
5.00E-01,4096,4096,4096,ZGEMM,3.70E-08,2.48E-15,3.68E+01,1.49E-02,,,,
5.00E-01,4096,4096,4096,ZGEMM3m,1.46E-07,2.55E-15,4.46E+01,1.23E-02,,,,
5.00E-01,4096,4096,4096,OS2-fast-2,1.06E+07,1.00E+00,6.38E+02,8.61E-04,3.22E-04,3.13E-04,8.93E-05,1.07E-04
5.00E-01,4096,4096,4096,OS2-fast-3,2.73E+06,1.54E-01,4.79E+02,1.15E-03,3.65E-04,4.86E-04,1.35E-04,1.32E-04
5.00E-01,4096,4096,4096,OS2-fast-4,6.76E+05,1.01E-02,3.99E+02,1.38E-03,4.00E-04,6.48E-04,1.80E-04,1.20E-04
5.00E-01,4096,4096,4096,OS2-fast-5,1.82E+04,6.35E-04,3.34E+02,1.65E-03,4.38E-04,8.09E-04,2.26E-04,1.44E-04
5.00E-01,4096,4096,4096,OS2-fast-6,1.45E+03,3.97E-05,2.90E+02,1.90E-03,4.75E-04,9.70E-04,2.71E-04,1.51E-04
5.00E-01,4096,4096,4096,OS2-fast-7,1.26E+02,2.48E-06,2.53E+02,2.18E-03,5.17E-04,1.14E-03,3.18E-04,1.76E-04
5.00E-01,4096,4096,4096,OS2-fast-8,9.78E+00,1.55E-07,2.23E+02,2.47E-03,5.57E-04,1.30E-03,3.64E-04,2.18E-04
5.00E-01,4096,4096,4096,OS2-fast-9,1.75E-01,9.70E-09,2.01E+02,2.74E-03,5.89E-04,1.46E-03,4.10E-04,2.44E-04
5.00E-01,4096,4096,4096,OS2-fast-10,1.54E-02,6.07E-10,1.84E+02,2.99E-03,6.28E-04,1.62E-03,4.56E-04,2.53E-04
5.00E-01,4096,4096,4096,OS2-fast-11,4.79E-03,7.57E-11,1.68E+02,3.26E-03,6.68E-04,1.79E-03,5.02E-04,2.76E-04
5.00E-01,4096,4096,4096,OS2-fast-12,1.78E-04,4.74E-12,1.56E+02,3.52E-03,7.08E-04,1.96E-03,5.48E-04,2.78E-04
5.00E-01,4096,4096,4096,OS2-fast-13,1.49E-05,2.96E-13,1.38E+02,3.99E-03,9.74E-04,2.10E-03,5.91E-04,3.03E-04
5.00E-01,4096,4096,4096,OS2-fast-14,2.85E-07,1.84E-14,1.28E+02,4.29E-03,1.05E-03,2.27E-03,6.39E-04,3.13E-04
5.00E-01,4096,4096,4096,OS2-fast-15,7.94E-08,1.04E-15,1.20E+02,4.57E-03,1.11E-03,2.42E-03,6.82E-04,3.37E-04
5.00E-01,4096,4096,4096,OS2-fast-16,1.97E-09,6.10E-17,1.13E+02,4.88E-03,1.18E-03,2.59E-03,7.31E-04,3.50E-04
5.00E-01,4096,4096,4096,OS2-fast-17,8.53E-11,4.61E-17,1.06E+02,5.17E-03,1.24E-03,2.74E-03,7.76E-04,3.82E-04
5.00E-01,4096,4096,4096,OS2-fast-18,9.43E-13,4.55E-17,1.01E+02,5.44E-03,1.30E-03,2.90E-03,8.22E-04,3.92E-04
5.00E-01,4096,4096,4096,OS2-fast-19,3.96E-15,4.54E-17,9.13E+01,6.02E-03,1.66E-03,3.06E-03,8.64E-04,4.15E-04
5.00E-01,4096,4096,4096,OS2-fast-20,7.55E-15,4.54E-17,8.72E+01,6.30E-03,1.74E-03,3.21E-03,9.10E-04,4.12E-04
5.00E-01,4096,4096,4096,OS2-accu-2,2.58E+06,5.30E-01,4.25E+02,1.29E-03,7.45E-04,3.22E-04,8.94E-05,1.07E-04
5.00E-01,4096,4096,4096,OS2-accu-3,1.06E+06,4.11E-02,3.52E+02,1.56E-03,7.76E-04,4.88E-04,1.35E-04,1.32E-04
5.00E-01,4096,4096,4096,OS2-accu-4,1.34E+05,2.60E-03,3.07E+02,1.79E-03,8.12E-04,6.50E-04,1.80E-04,1.20E-04
5.00E-01,4096,4096,4096,OS2-accu-5,1.06E+04,1.63E-04,2.67E+02,2.06E-03,8.52E-04,8.10E-04,2.26E-04,1.44E-04
5.00E-01,4096,4096,4096,OS2-accu-6,2.35E+02,1.02E-05,2.36E+02,2.33E-03,9.03E-04,9.71E-04,2.72E-04,1.51E-04
5.00E-01,4096,4096,4096,OS2-accu-7,1.60E+01,6.36E-07,2.12E+02,2.59E-03,9.39E-04,1.13E-03,3.18E-04,1.75E-04
5.00E-01,4096,4096,4096,OS2-accu-8,4.04E+00,7.68E-08,1.91E+02,2.88E-03,9.76E-04,1.29E-03,3.63E-04,2.17E-04
5.00E-01,4096,4096,4096,OS2-accu-9,1.32E-01,4.80E-09,1.75E+02,3.15E-03,1.01E-03,1.45E-03,4.10E-04,2.43E-04
5.00E-01,4096,4096,4096,OS2-accu-10,4.77E-03,3.00E-10,1.61E+02,3.41E-03,1.06E-03,1.62E-03,4.56E-04,2.52E-04
5.00E-01,4096,4096,4096,OS2-accu-11,1.41E-04,1.88E-11,1.50E+02,3.67E-03,1.09E-03,1.78E-03,5.01E-04,2.74E-04
5.00E-01,4096,4096,4096,OS2-accu-12,5.74E-05,1.17E-12,1.40E+02,3.92E-03,1.13E-03,1.94E-03,5.46E-04,2.76E-04
5.00E-01,4096,4096,4096,OS2-accu-13,1.89E-06,7.57E-14,1.24E+02,4.45E-03,1.42E-03,2.10E-03,5.92E-04,3.03E-04
5.00E-01,4096,4096,4096,OS2-accu-14,3.57E-07,4.62E-15,1.17E+02,4.72E-03,1.48E-03,2.26E-03,6.38E-04,3.11E-04
5.00E-01,4096,4096,4096,OS2-accu-15,1.82E-08,2.03E-16,1.10E+02,5.02E-03,1.55E-03,2.42E-03,6.82E-04,3.37E-04
5.00E-01,4096,4096,4096,OS2-accu-16,4.61E-10,5.06E-17,1.04E+02,5.30E-03,1.61E-03,2.58E-03,7.29E-04,3.48E-04
5.00E-01,4096,4096,4096,OS2-accu-17,5.60E-12,4.55E-17,9.81E+01,5.60E-03,1.68E-03,2.74E-03,7.75E-04,3.82E-04
5.00E-01,4096,4096,4096,OS2-accu-18,2.74E-14,4.54E-17,9.35E+01,5.88E-03,1.75E-03,2.90E-03,8.21E-04,3.91E-04
5.00E-01,4096,4096,4096,OS2-accu-19,1.80E-15,4.54E-17,8.50E+01,6.47E-03,2.10E-03,3.06E-03,8.64E-04,4.15E-04
5.00E-01,4096,4096,4096,OS2-accu-20,6.82E-16,4.54E-17,8.15E+01,6.75E-03,2.18E-03,3.21E-03,9.11E-04,4.12E-04
5.00E-01,8192,8192,8192,INT8-GEMM,,,3.68E+03,2.99E-04,,,,
5.00E-01,8192,8192,8192,GEMMEX,9.51E-08,3.51E-15,3.67E+01,1.20E-01,,,,
