phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,1.01E+02,2.13E-05,,,,
5.00E-01,1024,1024,1024,SGEMM,2.68E-01,4.71E-07,3.93E+01,5.47E-05,,,,
5.00E-01,1024,1024,1024,SGEMM-TF32,9.00E+02,2.93E-04,1.02E+02,2.11E-05,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,1.10E+05,6.30E-01,1.67E+01,1.29E-04,3.05E-05,4.21E-05,1.90E-05,1.43E-05
5.00E-01,1024,1024,1024,OS2-fast-3,5.89E+04,5.13E-02,1.35E+01,1.59E-04,3.04E-05,6.21E-05,2.83E-05,1.50E-05
5.00E-01,1024,1024,1024,OS2-fast-4,4.39E+03,3.28E-03,1.13E+01,1.89E-04,3.07E-05,8.29E-05,3.78E-05,1.48E-05
5.00E-01,1024,1024,1024,OS2-fast-5,2.43E+02,2.07E-04,9.69E+00,2.22E-04,3.14E-05,1.05E-04,4.69E-05,1.57E-05
5.00E-01,1024,1024,1024,OS2-fast-6,1.55E+01,1.29E-05,8.44E+00,2.55E-04,3.48E-05,1.24E-04,5.67E-05,1.61E-05
5.00E-01,1024,1024,1024,OS2-fast-7,5.44E-01,7.48E-07,7.50E+00,2.86E-04,3.57E-05,1.44E-04,6.62E-05,1.71E-05
5.00E-01,1024,1024,1024,OS2-fast-8,4.45E-02,3.21E-08,6.74E+00,3.19E-04,3.85E-05,1.65E-04,7.59E-05,1.59E-05
5.00E-01,1024,1024,1024,OS2-fast-9,2.58E-04,2.08E-08,6.14E+00,3.50E-04,3.93E-05,1.86E-04,8.53E-05,1.70E-05
5.00E-01,1024,1024,1024,OS2-fast-10,7.59E-06,2.07E-08,5.62E+00,3.82E-04,4.00E-05,2.07E-04,9.49E-05,1.76E-05
5.00E-01,1024,1024,1024,OS2-fast-11,2.08E-05,2.07E-08,5.19E+00,4.13E-04,4.06E-05,2.27E-04,1.04E-04,1.84E-05
5.00E-01,1024,1024,1024,OS2-fast-12,2.98E-05,2.07E-08,4.76E+00,4.51E-04,4.82E-05,2.48E-04,1.14E-04,1.81E-05
