phi,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000e+00,1024,ZGEMM,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,
-1.000000e+00,1024,ZGEMM3m,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,
-1.000000e+00,1024,OS1-6,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,9.615818e-10,
-1.000000e+00,1024,OS1-7,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,
-1.000000e+00,1024,OS1-8,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,
-1.000000e+00,1024,OS1-9,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,
-1.000000e+00,1024,OS1-10,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,
-1.000000e+00,1024,OS1-11,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,
-1.000000e+00,1024,OS2-fast,7.532103e-05,7.530869e-06,4.817775e-07,4.586733e-08,2.038770e-09,9.583286e-11,6.964789e-12,9.215904e-13,5.789551e-14,5.562370e-16,2.197598e-16,2.138519e-16,
