phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,4096,4096,4096,OS2-accu-16,4.027426e+00,3.412576e-02,8.261285e-03,1.557748e-02,5.399807e-03,4.824492e-03,
-1.000000e+00,4096,4096,4096,Oz1-6,5.574962e+00,2.465290e-02,,,,,
-1.000000e+00,4096,4096,4096,Oz1-7,4.391358e+00,3.129760e-02,,,,,
-1.000000e+00,4096,4096,4096,Oz1-8,3.582812e+00,3.836064e-02,,,,,
-1.000000e+00,4096,4096,4096,Oz1-9,2.958009e+00,4.646333e-02,,,,,
-1.000000e+00,8192,8192,8192,DGEMM,4.218193e-01,2.606594e+00,,,,,
-1.000000e+00,8192,8192,8192,OS2-fast-12,6.222769e+00,1.766917e-01,2.397203e-02,1.220394e-01,1.598696e-02,1.485270e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-13,5.719570e+00,1.922368e-01,2.588582e-02,1.330866e-01,1.730884e-02,1.584595e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-14,5.298591e+00,2.075102e-01,2.751547e-02,1.437569e-01,1.865214e-02,1.762930e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-15,4.972352e+00,2.211251e-01,2.939596e-02,1.525444e-01,1.997202e-02,1.893414e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-16,4.679827e+00,2.349471e-01,3.092303e-02,1.627009e-01,2.133632e-02,1.976788e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-12,5.690431e+00,1.932211e-01,3.965675e-02,1.228407e-01,1.603065e-02,1.494755e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-13,5.290070e+00,2.078445e-01,4.166116e-02,1.327862e-01,1.731635e-02,1.592763e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-14,4.930205e+00,2.230154e-01,4.309707e-02,1.437030e-01,1.865881e-02,1.756877e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-15,4.634365e+00,2.372518e-01,4.505610e-02,1.532824e-01,2.001474e-02,1.884838e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-16,4.388061e+00,2.505689e-01,4.659270e-02,1.630915e-01,2.132381e-02,1.947043e-02,
-1.000000e+00,8192,8192,8192,Oz1-6,6.081040e+00,1.808098e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-7,4.661306e+00,2.358806e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-8,3.717964e+00,2.957295e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-9,2.953913e+00,3.722221e-01,,,,,
-1.000000e+00,16384,16384,16384,DGEMM,4.225308e-01,2.081764e+01,,,,,
-1.000000e+00,16384,16384,16384,OS2-fast-12,8.413194e+00,1.045512e+00,1.032084e-01,8.177771e-01,6.356542e-02,6.166526e-02,
