phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,4096,4096,4096,OS2-accu-16,7.314911e-01,1.878888e-01,2.542285e-02,1.244888e-01,1.983110e-02,1.803658e-02,
-1.000000e+00,4096,4096,4096,Oz1-6,1.814355e+00,7.575088e-02,,,,,
-1.000000e+00,4096,4096,4096,Oz1-7,1.387164e+00,9.907910e-02,,,,,
-1.000000e+00,4096,4096,4096,Oz1-8,1.116923e+00,1.230514e-01,,,,,
-1.000000e+00,4096,4096,4096,Oz1-9,9.013226e-01,1.524859e-01,,,,,
-1.000000e+00,8192,8192,8192,DGEMM,1.568541e-01,7.009775e+00,,,,,
-1.000000e+00,8192,8192,8192,OS2-fast-12,1.299428e+00,8.461506e-01,5.245548e-02,6.764565e-01,5.972706e-02,5.767840e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-13,1.198248e+00,9.175992e-01,5.790340e-02,7.323910e-01,6.471572e-02,6.165629e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-14,1.103615e+00,9.962814e-01,6.283404e-02,7.972893e-01,6.938197e-02,6.617035e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-15,1.022428e+00,1.075393e+00,6.990687e-02,8.613251e-01,7.489225e-02,7.031826e-02,
-1.000000e+00,8192,8192,8192,OS2-fast-16,9.701628e-01,1.133327e+00,7.443858e-02,9.050653e-01,7.968029e-02,7.357866e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-12,1.225159e+00,8.974442e-01,9.607438e-02,6.829357e-01,5.972622e-02,5.789855e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-13,1.133234e+00,9.702419e-01,1.015186e-01,7.403664e-01,6.471101e-02,6.280564e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-14,1.065657e+00,1.031768e+00,1.070319e-01,7.903459e-01,6.934824e-02,6.537495e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-15,9.902690e-01,1.110316e+00,1.134197e-01,8.523685e-01,7.489710e-02,6.937291e-02,
-1.000000e+00,8192,8192,8192,OS2-accu-16,9.354161e-01,1.175425e+00,1.191369e-01,9.033918e-01,7.965275e-02,7.301005e-02,
-1.000000e+00,8192,8192,8192,Oz1-6,1.946278e+00,5.649304e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-7,1.471741e+00,7.470825e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-8,1.164151e+00,9.444750e-01,,,,,
-1.000000e+00,8192,8192,8192,Oz1-9,9.384133e-01,1.171671e+00,,,,,
-1.000000e+00,16384,16384,16384,DGEMM,1.569148e-01,5.605648e+01,,,,,
-1.000000e+00,16384,16384,16384,OS2-fast-12,1.439742e+00,6.109494e+00,1.968106e-01,5.445354e+00,2.355191e-01,2.333895e-01,
-1.000000e+00,16384,16384,16384,OS2-fast-13,1.290350e+00,6.816827e+00,2.956130e-01,6.003060e+00,2.550619e-01,2.568927e-01,
-1.000000e+00,16384,16384,16384,OS2-fast-14,1.186565e+00,7.413076e+00,4.856298e-01,6.386070e+00,2.746313e-01,2.670498e-01,
-1.000000e+00,16384,16384,16384,OS2-fast-15,1.086737e+00,8.094044e+00,5.996996e-01,6.913644e+00,2.943615e-01,2.852955e-01,
-1.000000e+00,16384,16384,16384,OS2-fast-16,1.007045e+00,8.734561e+00,7.526753e-01,7.362455e+00,3.139480e-01,3.001613e-01,
-1.000000e+00,16384,16384,16384,OS2-accu-12,1.368430e+00,6.427873e+00,4.558190e-01,5.500940e+00,2.354697e-01,2.357654e-01,
-1.000000e+00,16384,16384,16384,OS2-accu-13,1.234088e+00,7.127607e+00,5.591532e-01,6.051532e+00,2.550759e-01,2.572264e-01,
-1.000000e+00,16384,16384,16384,OS2-accu-14,1.126615e+00,7.807538e+00,7.501098e-01,6.511016e+00,2.747082e-01,2.718908e-01,
-1.000000e+00,16384,16384,16384,OS2-accu-15,1.062254e+00,8.280594e+00,8.575645e-01,6.843808e+00,2.944572e-01,2.812926e-01,
-1.000000e+00,16384,16384,16384,OS2-accu-16,9.780928e-01,8.993106e+00,1.015943e+00,7.360888e+00,3.139777e-01,3.000192e-01,
-1.000000e+00,16384,16384,16384,Oz1-6,1.978791e+00,4.445187e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-7,1.494782e+00,5.884531e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-8,1.146701e+00,7.670784e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-9,9.358959e-01,9.398581e+00,,,,,
