phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,3.242546e+02,8.072771e+02,
5.000000e-01,1024,1024,1024,SGEMM,2.678591e-01,4.705876e-07,5.430253e+02,6.880903e+01,
5.000000e-01,1024,1024,1024,SGEMM-TF32,9.003984e+02,2.929069e-04,4.981728e+02,2.967691e+02,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.103479e+05,6.299566e-01,2.167132e+02,9.425253e+01,
5.000000e-01,1024,1024,1024,OS2-fast-3,5.889219e+04,5.129641e-02,2.156347e+02,7.553418e+01,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.390279e+03,3.283470e-03,2.215523e+02,6.225391e+01,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.431117e+02,2.069412e-04,2.263400e+02,5.211326e+01,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.549757e+01,1.288798e-05,2.318074e+02,4.460431e+01,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.439144e-01,7.477716e-07,2.373826e+02,3.828422e+01,
5.000000e-01,1024,1024,1024,OS2-fast-8,4.454790e-02,3.212265e-08,2.408373e+02,3.421366e+01,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.583767e-04,2.077999e-08,2.418509e+02,3.058634e+01,
5.000000e-01,1024,1024,1024,OS2-fast-10,7.591942e-06,2.065254e-08,2.421334e+02,2.807659e+01,
5.000000e-01,1024,1024,1024,OS2-fast-11,2.084069e-05,2.065390e-08,2.426455e+02,2.583137e+01,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.979317e-05,2.065267e-08,2.461290e+02,2.349639e+01,
5.000000e-01,1024,1024,1024,OS2-fast-13,6.161708e-06,2.065259e-08,2.472276e+02,2.180034e+01,
5.000000e-01,1024,1024,1024,OS2-fast-14,3.839528e-05,2.065514e-08,2.483468e+02,2.029284e+01,
5.000000e-01,1024,1024,1024,OS2-fast-15,7.896953e-05,2.065975e-08,2.511698e+02,1.910163e+01,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.293138e+05,1.979700e-01,2.164663e+02,7.435006e+01,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.562708e+04,1.319513e-02,2.219901e+02,6.044821e+01,
5.000000e-01,1024,1024,1024,OS2-accu-4,8.929304e+02,8.301654e-04,2.245826e+02,5.228932e+01,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.438883e+01,5.178463e-05,2.288204e+02,4.486488e+01,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.440344e+00,3.179306e-06,2.337504e+02,3.802190e+01,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.680375e-01,1.552971e-07,2.370652e+02,3.373095e+01,
5.000000e-01,1024,1024,1024,OS2-accu-8,9.539124e-03,2.257179e-08,2.394154e+02,3.058363e+01,
5.000000e-01,1024,1024,1024,OS2-accu-9,9.702100e-05,2.067560e-08,2.393107e+02,2.786936e+01,
5.000000e-01,1024,1024,1024,OS2-accu-10,9.966033e-07,2.064851e-08,2.415727e+02,2.598395e+01,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.553648e-07,2.064851e-08,2.431122e+02,2.380310e+01,
5.000000e-01,1024,1024,1024,OS2-accu-12,5.533523e-06,2.064845e-08,2.457433e+02,2.168735e+01,
5.000000e-01,1024,1024,1024,OS2-accu-13,2.375247e-06,2.064879e-08,2.465391e+02,2.031956e+01,
5.000000e-01,1024,1024,1024,OS2-accu-14,4.828760e-06,2.064866e-08,2.475133e+02,1.892098e+01,
5.000000e-01,1024,1024,1024,OS2-accu-15,1.391312e-06,2.064851e-08,2.493868e+02,1.784034e+01,
