phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,2048,2048,2048,OS2-fast-15,2.504508e-04,2.069880e-08,4.812688e+02,6.896103e+01,
5.000000e-01,2048,2048,2048,OS2-accu-2,1.129748e+06,4.803569e-01,4.096639e+02,3.094708e+02,
5.000000e-01,2048,2048,2048,OS2-accu-3,5.317784e+04,3.606172e-02,4.393700e+02,2.333391e+02,
5.000000e-01,2048,2048,2048,OS2-accu-4,2.989933e+03,2.279819e-03,4.560301e+02,1.927188e+02,
5.000000e-01,2048,2048,2048,OS2-accu-5,1.484208e+02,1.425427e-04,4.629378e+02,1.640155e+02,
5.000000e-01,2048,2048,2048,OS2-accu-6,1.161335e+01,8.870894e-06,4.689340e+02,1.408180e+02,
5.000000e-01,2048,2048,2048,OS2-accu-7,2.232389e+00,4.971121e-07,4.743700e+02,1.241395e+02,
5.000000e-01,2048,2048,2048,OS2-accu-8,1.372373e-02,2.690604e-08,4.764173e+02,1.123591e+02,
5.000000e-01,2048,2048,2048,OS2-accu-9,2.615529e-04,2.073844e-08,4.774981e+02,1.023158e+02,
5.000000e-01,2048,2048,2048,OS2-accu-10,1.440427e-05,2.066052e-08,4.749264e+02,9.418841e+01,
5.000000e-01,2048,2048,2048,OS2-accu-11,1.636416e-05,2.066020e-08,4.741736e+02,8.709216e+01,
5.000000e-01,2048,2048,2048,OS2-accu-12,4.010038e-06,2.066016e-08,4.706021e+02,7.957680e+01,
5.000000e-01,2048,2048,2048,OS2-accu-13,2.789106e-05,2.066284e-08,4.730364e+02,7.379299e+01,
5.000000e-01,2048,2048,2048,OS2-accu-14,4.317804e-05,2.066260e-08,4.737506e+02,6.904062e+01,
5.000000e-01,2048,2048,2048,OS2-accu-15,4.115052e-05,2.066147e-08,4.748316e+02,6.468787e+01,
5.000000e-01,4096,4096,4096,INT8-GEMM,,,4.957909e+02,3.337743e+03,
5.000000e-01,4096,4096,4096,CGEMM,1.614898e+01,1.331158e-06,6.980393e+02,7.796279e+01,
5.000000e-01,4096,4096,4096,CGEMM-TF32,1.019074e+04,2.936540e-04,8.005007e+02,2.190748e+02,
5.000000e-01,4096,4096,4096,OS2-fast-2,4.869170e+06,1.000000e+00,5.080198e+02,9.630904e+02,
5.000000e-01,4096,4096,4096,OS2-fast-3,1.255334e+06,1.539045e-01,7.098463e+02,4.933225e+02,
5.000000e-01,4096,4096,4096,OS2-fast-4,3.106375e+05,1.013289e-02,7.538399e+02,3.733720e+02,
5.000000e-01,4096,4096,4096,OS2-fast-5,8.455002e+03,6.353397e-04,7.683494e+02,3.033593e+02,
5.000000e-01,4096,4096,4096,OS2-fast-6,6.483759e+02,3.965078e-05,7.809867e+02,2.519895e+02,
5.000000e-01,4096,4096,4096,OS2-fast-7,5.417680e+01,2.416027e-06,7.824790e+02,2.184854e+02,
5.000000e-01,4096,4096,4096,OS2-fast-8,2.640947e+00,1.030479e-07,7.845831e+02,1.940835e+02,
5.000000e-01,4096,4096,4096,OS2-fast-9,8.279417e-02,2.130278e-08,7.850801e+02,1.743520e+02,
5.000000e-01,4096,4096,4096,OS2-fast-10,1.520953e-03,2.067524e-08,7.884548e+02,1.582680e+02,
5.000000e-01,4096,4096,4096,OS2-fast-11,7.627152e-03,2.072940e-08,7.815446e+02,1.455996e+02,
5.000000e-01,4096,4096,4096,OS2-fast-12,1.642287e-03,2.071610e-08,7.742352e+02,1.320652e+02,
5.000000e-01,4096,4096,4096,OS2-fast-13,2.796339e-03,2.071554e-08,7.731526e+02,1.215848e+02,
5.000000e-01,4096,4096,4096,OS2-fast-14,4.805587e-03,2.071005e-08,7.703143e+02,1.134727e+02,
5.000000e-01,4096,4096,4096,OS2-fast-15,2.421701e-03,2.069419e-08,7.776876e+02,1.053242e+02,
5.000000e-01,4096,4096,4096,OS2-accu-2,2.534948e+06,5.304024e-01,6.354336e+02,5.113006e+02,
5.000000e-01,4096,4096,4096,OS2-accu-3,4.865991e+05,4.111076e-02,7.016970e+02,3.705682e+02,
5.000000e-01,4096,4096,4096,OS2-accu-4,6.160259e+04,2.603944e-03,7.329968e+02,3.014897e+02,
5.000000e-01,4096,4096,4096,OS2-accu-5,4.815807e+03,1.628168e-04,7.494863e+02,2.537761e+02,
5.000000e-01,4096,4096,4096,OS2-accu-6,9.666475e+01,1.011375e-05,7.545311e+02,2.178443e+02,
5.000000e-01,4096,4096,4096,OS2-accu-7,1.030350e+01,5.712998e-07,7.634517e+02,1.915352e+02,
5.000000e-01,4096,4096,4096,OS2-accu-8,1.545222e+00,4.397976e-08,7.741543e+02,1.711367e+02,
5.000000e-01,4096,4096,4096,OS2-accu-9,1.213030e-02,2.087424e-08,7.780611e+02,1.554383e+02,
5.000000e-01,4096,4096,4096,OS2-accu-10,1.826733e-04,2.066440e-08,7.689494e+02,1.436970e+02,
5.000000e-01,4096,4096,4096,OS2-accu-11,2.531044e-04,2.066379e-08,7.657312e+02,1.328132e+02,
5.000000e-01,4096,4096,4096,OS2-accu-12,1.408402e-04,2.066342e-08,7.571805e+02,1.219717e+02,
5.000000e-01,4096,4096,4096,OS2-accu-13,2.500156e-04,2.066361e-08,7.588034e+02,1.130170e+02,
5.000000e-01,4096,4096,4096,OS2-accu-14,4.996234e-04,2.066330e-08,7.610852e+02,1.054552e+02,
5.000000e-01,4096,4096,4096,OS2-accu-15,1.395032e-04,2.066234e-08,7.620416e+02,9.883000e+01,
5.000000e-01,8192,8192,8192,INT8-GEMM,,,5.881961e+02,2.749539e+03,
5.000000e-01,8192,8192,8192,CGEMM,1.373847e+02,1.882827e-06,7.581132e+02,7.321971e+01,
5.000000e-01,8192,8192,8192,CGEMM-TF32,3.346681e+04,2.955965e-04,8.272890e+02,2.158015e+02,
5.000000e-01,8192,8192,8192,OS2-fast-2,6.776616e+04,1.000000e+00,5.324521e+02,1.338097e+03,
5.000000e-01,8192,8192,8192,OS2-fast-3,8.860738e+06,2.997087e-01,7.940571e+02,6.036694e+02,
5.000000e-01,8192,8192,8192,OS2-fast-4,5.424526e+05,2.088294e-02,7.982146e+02,4.581994e+02,
5.000000e-01,8192,8192,8192,OS2-fast-5,2.790876e+04,1.314003e-03,7.975426e+02,3.749482e+02,
5.000000e-01,8192,8192,8192,OS2-fast-6,8.497811e+03,8.208996e-05,8.001483e+02,3.132965e+02,
5.000000e-01,8192,8192,8192,OS2-fast-7,3.638780e+02,5.067961e-06,8.006267e+02,2.691581e+02,
5.000000e-01,8192,8192,8192,OS2-fast-8,6.514898e+00,2.590167e-07,7.977276e+02,2.370514e+02,
5.000000e-01,8192,8192,8192,OS2-fast-9,5.976547e-01,2.271667e-08,7.942632e+02,2.117085e+02,
5.000000e-01,8192,8192,8192,OS2-fast-10,4.332763e-03,2.070200e-08,7.853617e+02,1.940484e+02,
5.000000e-01,8192,8192,8192,OS2-fast-11,1.436476e-02,2.070903e-08,7.796956e+02,1.769511e+02,
5.000000e-01,8192,8192,8192,OS2-fast-12,1.114439e-02,2.069875e-08,7.744361e+02,1.614522e+02,
5.000000e-01,8192,8192,8192,OS2-fast-13,5.106192e-03,2.069799e-08,7.698021e+02,1.485319e+02,
5.000000e-01,8192,8192,8192,OS2-fast-14,2.956089e-02,2.070438e-08,7.735481e+02,1.379967e+02,
5.000000e-01,8192,8192,8192,OS2-fast-15,1.491185e-02,2.076150e-08,7.691646e+02,1.289317e+02,
5.000000e-01,8192,8192,8192,OS2-accu-2,1.901817e+07,8.240183e-01,7.148716e+02,6.582365e+02,
5.000000e-01,8192,8192,8192,OS2-accu-3,6.956220e+06,8.012386e-02,7.914532e+02,4.500670e+02,
5.000000e-01,8192,8192,8192,OS2-accu-4,1.743985e+05,5.143175e-03,7.944821e+02,3.671848e+02,
5.000000e-01,8192,8192,8192,OS2-accu-5,1.805137e+04,3.219047e-04,7.926597e+02,3.106848e+02,
5.000000e-01,8192,8192,8192,OS2-accu-6,9.633214e+02,2.005804e-05,7.972904e+02,2.676180e+02,
5.000000e-01,8192,8192,8192,OS2-accu-7,2.534471e+01,1.217837e-06,7.938101e+02,2.358782e+02,
5.000000e-01,8192,8192,8192,OS2-accu-8,8.169908e+00,4.599618e-08,7.863178e+02,2.104367e+02,
5.000000e-01,8192,8192,8192,OS2-accu-9,4.299589e-02,2.088947e-08,7.859230e+02,1.920149e+02,
5.000000e-01,8192,8192,8192,OS2-accu-10,9.926689e-04,2.065981e-08,7.786829e+02,1.750759e+02,
5.000000e-01,8192,8192,8192,OS2-accu-11,2.630533e-04,2.065859e-08,7.750084e+02,1.613282e+02,
5.000000e-01,8192,8192,8192,OS2-accu-12,5.487820e-04,2.065823e-08,7.676801e+02,1.489414e+02,
5.000000e-01,8192,8192,8192,OS2-accu-13,2.137411e-03,2.066567e-08,7.688828e+02,1.372690e+02,
5.000000e-01,8192,8192,8192,OS2-accu-14,8.569107e-04,2.066453e-08,7.639175e+02,1.298083e+02,
5.000000e-01,8192,8192,8192,OS2-accu-15,2.013851e-03,2.066183e-08,7.632042e+02,1.210067e+02,
5.000000e-01,16384,16384,16384,INT8-GEMM,,,5.613301e+02,2.256274e+03,
5.000000e-01,16384,16384,16384,CGEMM,3.505793e+02,2.664187e-06,7.532592e+02,7.414024e+01,
5.000000e-01,16384,16384,16384,CGEMM-TF32,1.424292e+05,2.957085e-04,8.474720e+02,2.093244e+02,
5.000000e-01,16384,16384,16384,OS2-fast-2,4.292241e+05,1.000000e+00,5.061622e+02,1.376415e+03,
