phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,2048,2048,2048,OS2-fast-14,4.951593e-08,6.945171e-15,3.191933e+02,3.191552e+01,
5.000000e-01,2048,2048,2048,OS2-fast-15,2.719570e-09,3.387687e-16,3.213917e+02,2.966625e+01,
5.000000e-01,2048,2048,2048,OS2-fast-16,1.704321e-11,4.936928e-17,3.169266e+02,2.813163e+01,
5.000000e-01,2048,2048,2048,OS2-fast-17,4.682423e-12,4.560341e-17,3.151769e+02,2.676254e+01,
5.000000e-01,2048,2048,2048,OS2-fast-18,9.594812e-14,4.545630e-17,3.138092e+02,2.551110e+01,
5.000000e-01,2048,2048,2048,OS2-fast-19,2.211992e-16,4.547697e-17,3.102269e+02,2.386705e+01,
5.000000e-01,2048,2048,2048,OS2-fast-20,2.197772e-16,4.548646e-17,3.133662e+02,2.269524e+01,
5.000000e-01,2048,2048,2048,OS2-accu-2,1.807812e+06,2.957520e-01,2.597970e+02,1.126763e+02,
5.000000e-01,2048,2048,2048,OS2-accu-3,1.138563e+05,2.059556e-02,2.733802e+02,9.073987e+01,
5.000000e-01,2048,2048,2048,OS2-accu-4,4.025137e+03,1.295094e-03,2.857617e+02,7.791093e+01,
5.000000e-01,2048,2048,2048,OS2-accu-5,1.761531e+02,8.100134e-05,2.930087e+02,6.707273e+01,
5.000000e-01,2048,2048,2048,OS2-accu-6,3.683517e+00,5.060862e-06,2.981005e+02,5.883900e+01,
5.000000e-01,2048,2048,2048,OS2-accu-7,1.173883e+00,3.440375e-07,3.015747e+02,5.257846e+01,
5.000000e-01,2048,2048,2048,OS2-accu-8,1.339974e-01,2.953872e-08,3.063475e+02,4.744145e+01,
5.000000e-01,2048,2048,2048,OS2-accu-9,5.053279e-03,1.846926e-09,3.081849e+02,4.336734e+01,
5.000000e-01,2048,2048,2048,OS2-accu-10,3.447213e-04,1.152860e-10,3.113458e+02,3.956110e+01,
5.000000e-01,2048,2048,2048,OS2-accu-11,2.750559e-05,7.215785e-12,3.120764e+02,3.671714e+01,
5.000000e-01,2048,2048,2048,OS2-accu-12,5.645197e-06,4.523980e-13,3.158659e+02,3.442720e+01,
5.000000e-01,2048,2048,2048,OS2-accu-13,7.943825e-08,3.757984e-14,3.119581e+02,3.149846e+01,
5.000000e-01,2048,2048,2048,OS2-accu-14,3.825495e-08,2.233723e-15,3.120935e+02,2.955859e+01,
5.000000e-01,2048,2048,2048,OS2-accu-15,7.279335e-10,9.418217e-17,3.144496e+02,2.758891e+01,
5.000000e-01,2048,2048,2048,OS2-accu-16,2.763511e-11,4.682043e-17,3.116063e+02,2.645168e+01,
5.000000e-01,2048,2048,2048,OS2-accu-17,6.826385e-13,4.550301e-17,3.084247e+02,2.517600e+01,
5.000000e-01,2048,2048,2048,OS2-accu-18,5.862032e-15,4.547429e-17,3.078929e+02,2.399133e+01,
5.000000e-01,2048,2048,2048,OS2-accu-19,2.193263e-16,4.548584e-17,3.049318e+02,2.253467e+01,
5.000000e-01,2048,2048,2048,OS2-accu-20,2.203968e-16,4.546164e-17,3.082068e+02,2.151497e+01,
5.000000e-01,4096,4096,4096,INT8-GEMM,,,3.016893e+02,1.368908e+03,
5.000000e-01,4096,4096,4096,DGEMM,7.080380e-08,1.753983e-15,3.946666e+02,4.561500e+01,
5.000000e-01,4096,4096,4096,OS2-fast-2,2.885624e+06,1.000000e+00,3.030957e+02,3.087813e+02,
5.000000e-01,4096,4096,4096,OS2-fast-3,3.235056e+06,1.395752e-01,3.895820e+02,1.795494e+02,
5.000000e-01,4096,4096,4096,OS2-fast-4,4.092906e+04,9.130770e-03,3.930078e+02,1.468753e+02,
5.000000e-01,4096,4096,4096,OS2-fast-5,1.050983e+04,5.725878e-04,3.925882e+02,1.214759e+02,
5.000000e-01,4096,4096,4096,OS2-fast-6,1.472173e+02,3.577596e-05,3.912758e+02,1.039648e+02,
5.000000e-01,4096,4096,4096,OS2-fast-7,2.257349e+01,2.236210e-06,3.894720e+02,9.104029e+01,
5.000000e-01,4096,4096,4096,OS2-fast-8,8.654125e-01,1.398155e-07,3.932885e+02,8.037337e+01,
5.000000e-01,4096,4096,4096,OS2-fast-9,1.514870e-01,8.737840e-09,3.909735e+02,7.241327e+01,
5.000000e-01,4096,4096,4096,OS2-fast-10,1.447611e-02,5.459746e-10,3.907933e+02,6.541346e+01,
5.000000e-01,4096,4096,4096,OS2-fast-11,3.324825e-04,3.411377e-11,3.943281e+02,5.925031e+01,
5.000000e-01,4096,4096,4096,OS2-fast-12,2.139311e-05,2.133168e-12,3.913301e+02,5.584148e+01,
5.000000e-01,4096,4096,4096,OS2-fast-13,2.835420e-06,1.331647e-13,3.918308e+02,5.050862e+01,
5.000000e-01,4096,4096,4096,OS2-fast-14,2.988413e-07,1.031907e-14,3.912356e+02,4.672145e+01,
5.000000e-01,4096,4096,4096,OS2-fast-15,2.774731e-09,9.246371e-16,3.890922e+02,4.379983e+01,
5.000000e-01,4096,4096,4096,OS2-fast-16,5.638285e-10,5.918604e-17,3.929749e+02,4.091586e+01,
5.000000e-01,4096,4096,4096,OS2-fast-17,2.670773e-12,4.567563e-17,3.920637e+02,3.856003e+01,
5.000000e-01,4096,4096,4096,OS2-fast-18,1.051019e-13,4.546625e-17,3.916587e+02,3.649491e+01,
5.000000e-01,4096,4096,4096,OS2-fast-19,3.343655e-15,4.545691e-17,3.898522e+02,3.419614e+01,
5.000000e-01,4096,4096,4096,OS2-fast-20,1.680834e-15,4.546148e-17,3.893390e+02,3.282868e+01,
5.000000e-01,4096,4096,4096,OS2-accu-2,9.017579e+06,4.790655e-01,3.562156e+02,1.782439e+02,
5.000000e-01,4096,4096,4096,OS2-accu-3,2.592564e+05,3.598866e-02,3.883726e+02,1.337630e+02,
5.000000e-01,4096,4096,4096,OS2-accu-4,1.077012e+04,2.274896e-03,3.909215e+02,1.149641e+02,
5.000000e-01,4096,4096,4096,OS2-accu-5,2.799246e+03,1.422866e-04,3.910011e+02,9.877153e+01,
5.000000e-01,4096,4096,4096,OS2-accu-6,1.133499e+02,8.913362e-06,3.905574e+02,8.691965e+01,
5.000000e-01,4096,4096,4096,OS2-accu-7,3.289622e+00,5.592658e-07,3.911056e+02,7.730894e+01,
5.000000e-01,4096,4096,4096,OS2-accu-8,2.441437e-01,3.792465e-08,3.943884e+02,6.934780e+01,
5.000000e-01,4096,4096,4096,OS2-accu-9,2.590830e-02,2.477089e-09,3.904882e+02,6.370387e+01,
5.000000e-01,4096,4096,4096,OS2-accu-10,2.648560e-03,1.547367e-10,3.916167e+02,5.825335e+01,
5.000000e-01,4096,4096,4096,OS2-accu-11,8.172977e-05,9.673185e-12,3.929706e+02,5.350942e+01,
5.000000e-01,4096,4096,4096,OS2-accu-12,7.636514e-06,6.046421e-13,3.927425e+02,5.039142e+01,
5.000000e-01,4096,4096,4096,OS2-accu-13,8.022056e-07,6.614709e-14,3.912234e+02,4.602018e+01,
5.000000e-01,4096,4096,4096,OS2-accu-14,5.552117e-08,4.020647e-15,3.899058e+02,4.300364e+01,
5.000000e-01,4096,4096,4096,OS2-accu-15,3.311892e-09,1.754370e-16,3.911787e+02,4.040307e+01,
5.000000e-01,4096,4096,4096,OS2-accu-16,1.194962e-10,4.737520e-17,3.894080e+02,3.811720e+01,
5.000000e-01,4096,4096,4096,OS2-accu-17,8.919870e-13,4.549584e-17,3.923931e+02,3.607576e+01,
5.000000e-01,4096,4096,4096,OS2-accu-18,2.998175e-14,4.546125e-17,3.915270e+02,3.405918e+01,
5.000000e-01,4096,4096,4096,OS2-accu-19,2.208855e-16,4.546508e-17,3.911953e+02,3.197045e+01,
5.000000e-01,4096,4096,4096,OS2-accu-20,2.207725e-16,4.546084e-17,3.902158e+02,3.064143e+01,
5.000000e-01,8192,8192,8192,INT8-GEMM,,,3.003757e+02,1.464142e+03,
5.000000e-01,8192,8192,8192,DGEMM,5.299420e-08,2.480181e-15,3.936864e+02,4.609446e+01,
5.000000e-01,8192,8192,8192,OS2-fast-2,1.597482e+07,1.000000e+00,3.136678e+02,4.416568e+02,
5.000000e-01,8192,8192,8192,OS2-fast-3,1.625477e+06,1.537486e-01,3.928113e+02,2.463132e+02,
5.000000e-01,8192,8192,8192,OS2-fast-4,3.673941e+05,1.012587e-02,3.927341e+02,1.959638e+02,
