phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,2048,2048,2048,OS2-fast-14,4.951593e-08,6.945171e-15,3.791856e+02,4.811494e+01,
5.000000e-01,2048,2048,2048,OS2-fast-15,2.719570e-09,3.387687e-16,3.798093e+02,4.500555e+01,
5.000000e-01,2048,2048,2048,OS2-fast-16,1.704321e-11,4.936928e-17,3.792734e+02,4.275898e+01,
5.000000e-01,2048,2048,2048,OS2-fast-17,4.682423e-12,4.560341e-17,3.766592e+02,4.063795e+01,
5.000000e-01,2048,2048,2048,OS2-fast-18,9.594812e-14,4.545630e-17,3.746811e+02,3.869807e+01,
5.000000e-01,2048,2048,2048,OS2-fast-19,2.211992e-16,4.547697e-17,3.712029e+02,3.619120e+01,
5.000000e-01,2048,2048,2048,OS2-fast-20,2.197772e-16,4.548646e-17,3.727820e+02,3.447116e+01,
5.000000e-01,2048,2048,2048,OS2-accu-2,1.807812e+06,2.957520e-01,3.394359e+02,1.525414e+02,
5.000000e-01,2048,2048,2048,OS2-accu-3,1.138563e+05,2.059556e-02,3.524477e+02,1.254640e+02,
5.000000e-01,2048,2048,2048,OS2-accu-4,4.025137e+03,1.295094e-03,3.587553e+02,1.098498e+02,
5.000000e-01,2048,2048,2048,OS2-accu-5,1.761531e+02,8.100134e-05,3.631337e+02,9.650901e+01,
5.000000e-01,2048,2048,2048,OS2-accu-6,3.683517e+00,5.060862e-06,3.673610e+02,8.595215e+01,
5.000000e-01,2048,2048,2048,OS2-accu-7,1.173883e+00,3.440375e-07,3.672831e+02,7.713054e+01,
5.000000e-01,2048,2048,2048,OS2-accu-8,1.339974e-01,2.953872e-08,3.726875e+02,7.061855e+01,
5.000000e-01,2048,2048,2048,OS2-accu-9,5.053279e-03,1.846926e-09,3.730699e+02,6.492823e+01,
5.000000e-01,2048,2048,2048,OS2-accu-10,3.447213e-04,1.152860e-10,3.767510e+02,5.959708e+01,
5.000000e-01,2048,2048,2048,OS2-accu-11,2.750559e-05,7.215785e-12,3.794759e+02,5.518530e+01,
5.000000e-01,2048,2048,2048,OS2-accu-12,5.645197e-06,4.523980e-13,3.811683e+02,5.201095e+01,
