phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,2.25E+01,9.54E-05,,,,
5.00E-01,1024,1024,1024,SGEMM,1.29E+00,4.71E-07,2.22E+01,9.67E-05,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,9.83E+05,6.20E-01,3.51E+00,6.12E-04,8.27E-05,2.17E-04,9.56E-05,6.13E-05
5.00E-01,1024,1024,1024,OS2-fast-3,2.84E+05,5.03E-02,2.82E+00,7.61E-04,8.32E-05,3.32E-04,1.33E-04,5.35E-05
5.00E-01,1024,1024,1024,OS2-fast-4,6.45E+03,3.23E-03,2.35E+00,9.14E-04,8.34E-05,4.36E-04,1.83E-04,5.39E-05
5.00E-01,1024,1024,1024,OS2-fast-5,1.16E+03,2.03E-04,2.01E+00,1.07E-03,8.29E-05,5.42E-04,2.26E-04,5.76E-05
5.00E-01,1024,1024,1024,OS2-fast-6,4.76E+01,1.26E-05,1.75E+00,1.22E-03,8.58E-05,6.56E-04,2.68E-04,5.56E-05
5.00E-01,1024,1024,1024,OS2-fast-7,5.08E+00,7.32E-07,1.56E+00,1.37E-03,8.35E-05,7.60E-04,3.13E-04,6.10E-05
5.00E-01,1024,1024,1024,OS2-fast-8,7.02E-02,3.17E-08,1.41E+00,1.52E-03,8.28E-05,8.66E-04,3.55E-04,5.62E-05
5.00E-01,1024,1024,1024,OS2-fast-9,5.34E-04,2.08E-08,1.28E+00,1.67E-03,8.45E-05,9.81E-04,3.95E-04,5.79E-05
5.00E-01,1024,1024,1024,OS2-fast-10,8.73E-05,2.07E-08,1.20E+00,1.79E-03,8.27E-05,1.07E-03,4.36E-04,5.32E-05
5.00E-01,1024,1024,1024,OS2-fast-11,4.18E-05,2.07E-08,1.10E+00,1.95E-03,8.22E-05,1.17E-03,4.80E-04,5.80E-05
5.00E-01,1024,1024,1024,OS2-fast-12,1.13E-04,2.07E-08,1.02E+00,2.11E-03,8.39E-05,1.30E-03,5.19E-04,5.45E-05
5.00E-01,1024,1024,1024,OS2-fast-13,2.38E-05,2.07E-08,9.53E-01,2.25E-03,8.59E-05,1.39E-03,5.63E-04,5.41E-05
5.00E-01,1024,1024,1024,OS2-fast-14,1.40E-05,2.07E-08,8.92E-01,2.41E-03,8.55E-05,1.51E-03,6.07E-04,5.61E-05
5.00E-01,1024,1024,1024,OS2-fast-15,6.40E-05,2.07E-08,8.32E-01,2.58E-03,8.98E-05,1.62E-03,6.59E-04,5.49E-05
5.00E-01,1024,1024,1024,OS2-accu-2,2.46E+05,1.94E-01,2.89E+00,7.43E-04,1.92E-04,2.30E-04,1.09E-04,5.62E-05
5.00E-01,1024,1024,1024,OS2-accu-3,1.06E+04,1.29E-02,2.43E+00,8.84E-04,1.90E-04,3.33E-04,1.47E-04,5.85E-05
