phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.714103e+02,8.895685e+02,
5.000000e-01,1024,1024,1024,SGEMM,2.107375e-01,2.450264e-07,3.229677e+02,5.080251e+01,
5.000000e-01,1024,1024,1024,SGEMM-TF32,8.993501e+02,2.929536e-04,3.113205e+02,2.091548e+02,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.103479e+05,6.299566e-01,1.406772e+02,8.975334e+01,
5.000000e-01,1024,1024,1024,OS2-fast-3,5.889219e+04,5.129641e-02,1.508621e+02,6.537954e+01,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.390279e+03,3.283470e-03,1.564526e+02,5.316072e+01,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.431117e+02,2.069412e-04,1.588358e+02,4.544094e+01,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.549757e+01,1.288798e-05,1.618866e+02,3.889374e+01,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.439144e-01,7.477716e-07,1.636765e+02,3.426796e+01,
5.000000e-01,1024,1024,1024,OS2-fast-8,4.454790e-02,3.212265e-08,1.649417e+02,3.091858e+01,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.583767e-04,2.077999e-08,1.651927e+02,2.809249e+01,
5.000000e-01,1024,1024,1024,OS2-fast-10,7.591942e-06,2.065254e-08,1.652899e+02,2.598413e+01,
5.000000e-01,1024,1024,1024,OS2-fast-11,2.084069e-05,2.065390e-08,1.658886e+02,2.370277e+01,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.979317e-05,2.065267e-08,1.674983e+02,2.165233e+01,
5.000000e-01,1024,1024,1024,OS2-fast-13,6.161708e-06,2.065259e-08,1.679600e+02,2.010976e+01,
5.000000e-01,1024,1024,1024,OS2-fast-14,3.839528e-05,2.065514e-08,1.687730e+02,1.874069e+01,
5.000000e-01,1024,1024,1024,OS2-fast-15,7.896953e-05,2.065975e-08,1.692465e+02,1.756065e+01,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.293138e+05,1.979700e-01,1.464460e+02,6.821833e+01,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.562708e+04,1.319513e-02,1.524526e+02,5.347019e+01,
5.000000e-01,1024,1024,1024,OS2-accu-4,8.929304e+02,8.301654e-04,1.563196e+02,4.516895e+01,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.438883e+01,5.178463e-05,1.582725e+02,3.942831e+01,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.440344e+00,3.179306e-06,1.607308e+02,3.432027e+01,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.680375e-01,1.552971e-07,1.632771e+02,3.046044e+01,
5.000000e-01,1024,1024,1024,OS2-accu-8,9.539124e-03,2.257179e-08,1.637922e+02,2.789999e+01,
5.000000e-01,1024,1024,1024,OS2-accu-9,9.702100e-05,2.067560e-08,1.646538e+02,2.548216e+01,
5.000000e-01,1024,1024,1024,OS2-accu-10,9.966033e-07,2.064851e-08,1.643118e+02,2.357711e+01,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.553648e-07,2.064851e-08,1.657130e+02,2.170418e+01,
5.000000e-01,1024,1024,1024,OS2-accu-12,5.533523e-06,2.064845e-08,1.668634e+02,2.003750e+01,
5.000000e-01,1024,1024,1024,OS2-accu-13,2.375247e-06,2.064879e-08,1.682567e+02,1.860839e+01,
5.000000e-01,1024,1024,1024,OS2-accu-14,4.828760e-06,2.064866e-08,1.684900e+02,1.748572e+01,
5.000000e-01,1024,1024,1024,OS2-accu-15,1.391312e-06,2.064851e-08,1.696410e+02,1.635517e+01,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.300919e+02,1.306363e+03,
5.000000e-01,2048,2048,2048,SGEMM,8.979311e-01,6.658007e-07,3.185004e+02,5.533756e+01,
5.000000e-01,2048,2048,2048,SGEMM-TF32,1.178883e+04,2.931282e-04,3.930129e+02,2.402714e+02,
5.000000e-01,2048,2048,2048,OS2-fast-2,4.842292e+06,7.110513e-01,2.309187e+02,1.953606e+02,
5.000000e-01,2048,2048,2048,OS2-fast-3,8.322588e+04,6.089539e-02,2.664319e+02,1.337076e+02,
5.000000e-01,2048,2048,2048,OS2-fast-4,6.219949e+04,3.880986e-03,2.853942e+02,1.063626e+02,
5.000000e-01,2048,2048,2048,OS2-fast-5,1.153587e+03,2.427294e-04,2.921107e+02,8.833308e+01,
5.000000e-01,2048,2048,2048,OS2-fast-6,7.252508e+02,1.510073e-05,2.974989e+02,7.419986e+01,
5.000000e-01,2048,2048,2048,OS2-fast-7,1.430417e+01,8.849070e-07,3.009257e+02,6.515877e+01,
5.000000e-01,2048,2048,2048,OS2-fast-8,1.601514e+00,3.597021e-08,3.084857e+02,5.758156e+01,
